country_id,Year,number_of_deaths
1,1990,25633
1,1991,25872
1,1992,26309
1,1993,26961
1,1994,27658
1,1995,28090
1,1996,28587
1,1997,29021
1,1998,29349
1,1999,29712
1,2000,29999
1,2001,30421
1,2002,30189
1,2003,30157
1,2004,30225
1,2005,30089
1,2006,30075
1,2007,30080
1,2008,30219
1,2009,30280
1,2010,30352
1,2011,30684
1,2012,31090
1,2013,31462
1,2014,32002
1,2015,32640
1,2016,33393
1,2017,34382
1,2018,35263
1,2019,36017
2,1990,4280
2,1991,4384
2,1992,4224
2,1993,4056
2,1994,3855
2,1995,4046
2,1996,4243
2,1997,4388
2,1998,4506
2,1999,4638
2,2000,4722
2,2001,4695
2,2002,5053
2,2003,5538
2,2004,5699
2,2005,5730
2,2006,5561
2,2007,5452
2,2008,5654
2,2009,5701
2,2010,5829
2,2011,6046
2,2012,6208
2,2013,6400
2,2014,6665
2,2015,6936
2,2016,7108
2,2017,7278
2,2018,7444
2,2019,7609
3,1990,32361
3,1991,33434
3,1992,34459
3,1993,35497
3,1994,36567
3,1995,37370
3,1996,38058
3,1997,38677
3,1998,39123
3,1999,40120
3,2000,40554
3,2001,40699
3,2002,40594
3,2003,40272
3,2004,40274
3,2005,40476
3,2006,40907
3,2007,41434
3,2008,41988
3,2009,42785
3,2010,43639
3,2011,44923
3,2012,46237
3,2013,47526
3,2014,49286
3,2015,51136
3,2016,52564
3,2017,54355
3,2018,56569
3,2019,58602
4,1990,38
4,1991,41
4,1992,43
4,1993,45
4,1994,47
4,1995,49
4,1996,51
4,1997,53
4,1998,55
4,1999,57
4,2000,58
4,2001,60
4,2002,62
4,2003,62
4,2004,64
4,2005,64
4,2006,66
4,2007,67
4,2008,69
4,2009,70
4,2010,71
4,2011,73
4,2012,75
4,2013,77
4,2014,79
4,2015,81
4,2016,83
4,2017,84
4,2018,85
4,2019,87
5,1990,39
5,1991,41
5,1992,44
5,1993,47
5,1994,49
5,1995,50
5,1996,52
5,1997,54
5,1998,55
5,1999,57
5,2000,59
5,2001,61
5,2002,63
5,2003,65
5,2004,68
5,2005,70
5,2006,72
5,2007,74
5,2008,77
5,2009,80
5,2010,83
5,2011,83
5,2012,84
5,2013,87
5,2014,89
5,2015,92
5,2016,94
5,2017,97
5,2018,99
5,2019,101
6,1990,7764
6,1991,7973
6,1992,8219
6,1993,8550
6,1994,8858
6,1995,9064
6,1996,9133
6,1997,9340
6,1998,9736
6,1999,10094
6,2000,10353
6,2001,10464
6,2002,10590
6,2003,10922
6,2004,11354
6,2005,11442
6,2006,11748
6,2007,11907
6,2008,12297
6,2009,12673
6,2010,13052
6,2011,13471
6,2012,13909
6,2013,14254
6,2014,14372
6,2015,14896
6,2016,15444
6,2017,16141
6,2018,16900
