country_id,Year,number_of_deaths
1,1990,19546
1,1991,20334
1,1992,22895
1,1993,27002
1,1994,29205
1,1995,30943
1,1996,31628
1,1997,32736
1,1998,32760
1,1999,32271
1,2000,31559
1,2001,30938
1,2002,29619
1,2003,29098
1,2004,28167
1,2005,26669
1,2006,24987
1,2007,23100
1,2008,21624
1,2009,20264
1,2010,19135
1,2011,18163
1,2012,17368
1,2013,16573
1,2014,15919
1,2015,15256
1,2016,14573
1,2017,13970
1,2018,13067
1,2019,12285
2,1990,840
2,1991,836
2,1992,809
2,1993,763
2,1994,704
2,1995,600
2,1996,513
2,1997,438
2,1998,374
2,1999,306
2,2000,237
2,2001,181
2,2002,143
2,2003,114
2,2004,90
2,2005,74
2,2006,62
2,2007,53
2,2008,48
2,2009,43
2,2010,41
2,2011,41
2,2012,42
2,2013,42
2,2014,42
2,2015,42
2,2016,40
2,2017,38
2,2018,36
2,2019,33
3,1990,6791
3,1991,6199
3,1992,5713
3,1993,5277
3,1994,4849
3,1995,4430
3,1996,4013
3,1997,3544
3,1998,3217
3,1999,2945
3,2000,2681
3,2001,2394
3,2002,2188
3,2003,2014
3,2004,1820
3,2005,1680
3,2006,1562
3,2007,1455
3,2008,1365
3,2009,1309
3,2010,1237
3,2011,1183
3,2012,1134
3,2013,1109
3,2014,1085
3,2015,1042
3,2016,971
3,2017,896
3,2018,814
3,2019,745
4,1990,5
4,1991,4
4,1992,4
4,1993,4
4,1994,4
4,1995,4
4,1996,4
4,1997,4
4,1998,4
4,1999,4
4,2000,4
4,2001,4
4,2002,4
4,2003,4
4,2004,4
4,2005,4
4,2006,4
4,2007,3
4,2008,3
4,2009,3
4,2010,3
4,2011,3
4,2012,3
4,2013,3
4,2014,3
4,2015,3
4,2016,3
4,2017,3
4,2018,3
4,2019,3
5,1990,0
5,1991,0
5,1992,0
5,1993,0
5,1994,0
5,1995,0
5,1996,0
5,1997,0
5,1998,0
5,1999,0
5,2000,0
5,2001,0
5,2002,0
5,2003,0
5,2004,0
5,2005,0
5,2006,0
5,2007,0
5,2008,0
5,2009,0
5,2010,0
5,2011,0
5,2012,0
5,2013,0
5,2014,0
5,2015,0
5,2016,0
5,2017,0
5,2018,0
5,2019,0
6,1990,42373
6,1991,42750
6,1992,43017
6,1993,43580
6,1994,44186
6,1995,44344
6,1996,43563
6,1997,42742
6,1998,42053
6,1999,41003
6,2000,39878
6,2001,38119
6,2002,36031
6,2003,34052
6,2004,32392
6,2005,30364
6,2006,29845
6,2007,27743
6,2008,26237
6,2009,24964
6,2010,23598
6,2011,22241
6,2012,20776
6,2013,19137
6,2014,17449
6,2015,15842
6,2016,14255
6,2017,13093
6,2018,11676
6,2019,10766
7,1990,4
7,1991,4
7,1992,4
7,1993,5
7,1994,5
7,1995,4
7,1996,4
7,1997,4
7,1998,4
7,1999,4
7,2000,4
7,2001,4
7,2002,4
7,2003,4
7,2004,4
7,2005,3
7,2006,3
7,2007,4
7,2008,3
7,2009,3
7,2010,3
7,2011,3
7,2012,3
