country_id,Year,number_of_deaths
1,1990,174
1,1991,188
1,1992,211
1,1993,232
1,1994,247
1,1995,260
1,1996,274
1,1997,287
1,1998,295
1,1999,302
1,2000,312
1,2001,328
1,2002,337
1,2003,356
1,2004,376
1,2005,390
1,2006,401
1,2007,414
1,2008,430
1,2009,445
1,2010,463
1,2011,482
1,2012,502
1,2013,522
1,2014,542
1,2015,566
1,2016,602
1,2017,644
1,2018,673
1,2019,700
2,1990,64
2,1991,68
2,1992,69
2,1993,72
2,1994,75
2,1995,80
2,1996,85
2,1997,88
2,1998,93
2,1999,90
2,2000,93
2,2001,96
2,2002,101
2,2003,105
2,2004,104
2,2005,95
2,2006,90
2,2007,90
2,2008,91
2,2009,89
2,2010,94
2,2011,98
2,2012,101
2,2013,104
2,2014,109
2,2015,116
2,2016,119
2,2017,123
2,2018,126
2,2019,130
3,1990,296
3,1991,311
3,1992,330
3,1993,351
3,1994,377
3,1995,401
3,1996,427
3,1997,453
3,1998,478
3,1999,506
3,2000,529
3,2001,554
3,2002,578
3,2003,592
3,2004,614
3,2005,634
3,2006,655
3,2007,680
3,2008,703
3,2009,727
3,2010,750
3,2011,781
3,2012,813
3,2013,850
3,2014,886
3,2015,916
3,2016,935
3,2017,961
3,2018,999
3,2019,1030
4,1990,1
4,1991,1
4,1992,1
4,1993,1
4,1994,1
4,1995,2
4,1996,2
4,1997,2
4,1998,2
4,1999,2
4,2000,2
4,2001,2
4,2002,2
4,2003,2
4,2004,2
4,2005,2
4,2006,2
4,2007,2
4,2008,2
4,2009,2
4,2010,2
4,2011,2
4,2012,2
4,2013,2
4,2014,2
4,2015,2
4,2016,2
4,2017,2
4,2018,2
4,2019,2
5,1990,2
5,1991,2
5,1992,2
5,1993,3
5,1994,3
5,1995,3
5,1996,3
5,1997,3
5,1998,3
5,1999,3
5,2000,3
5,2001,3
5,2002,3
5,2003,4
5,2004,4
5,2005,4
5,2006,4
5,2007,4
5,2008,4
5,2009,5
5,2010,5
5,2011,5
5,2012,5
5,2013,5
5,2014,5
5,2015,5
5,2016,5
5,2017,6
5,2018,6
5,2019,6
6,1990,56
6,1991,60
6,1992,65
6,1993,73
6,1994,81
6,1995,89
6,1996,97
6,1997,108
6,1998,126
6,1999,145
6,2000,163
6,2001,182
6,2002,202
6,2003,225
6,2004,249
6,2005,269
6,2006,284
6,2007,294
6,2008,309
6,2009,326
6,2010,342
6,2011,362
6,2012,384
6,2013,393
6,2014,394
6,2015,415
6,2016,460
6,2017,512
6,2018,543
6,2019,557
7,1990,1
7,1991,1
7,1992,1
7,1993,1
7,1994,1
7,1995,1
7,1996,1
7,1997,1
7,1998,1
7,1999,1
7,2000,1
7,2001,1
7,2002,1
7,2003,1
7,2004,1
7,2005,1
7,2006,1
7,2007,1
7,2008,1
7,2009,1
7,2010,1
7,2011,1
7,2012,1
7,2013,1
7,2014,1
7,2015,1
7,2016,1
7,2017,1
7,2018,1
7,2019,1
8,1990,1605
8,1991,1634
8,1992,1703
8,1993,1703
8,1994,1750
8,1995,1826
8,1996,1899
8,1997,1946
8,1998,1937
8,1999,1920
8,2000,1896
8,2001,1935
8,2002,1996
8,2003,2028
8,2004,1999
8,2005,2025
8,2006,2112
8,2007,2248
8,2008,2293
8,2009,2357
8,2010,2416
8,2011,2495
8,2012,2587
8,2013,2651
8,2014,2682
8,2015,2781
8,2016,2941
8,2017,2977
8,2018,3001
8,2019,3062
9,1990,21
9,1991,24
9,1992,27
9,1993,29
9,1994,29
9,1995,28
9,1996,28
9,1997,26
9,1998,25
9,1999,25
9,2000,26
9,2001,28
9,2002,31
9,2003,34
9,2004,38
9,2005,45
9,2006,55
9,2007,57
9,2008,68
9,2009,74
9,2010,77
9,2011,81
9,2012,86
9,2013,86
9,2014,95
9,2015,99
9,2016,95
9,2017,94
9,2018,95
9,2019,96
10,1990,1164
10,1991,1206
10,1992,1277
10,1993,1342
10,1994,1447
10,1995,1539
10,1996,1606
10,1997,1685
10,1998,1755
10,1999,1778
10,2000,1726
10,2001,1626
10,2002,1625
10,2003,1667
10,2004,1699
10,2005,1741
10,2006,1754
10,2007,1781
10,2008,1804
10,2009,1825
10,2010,1880
10,2011,1970
10,2012,2037
10,2013,2149
10,2014,2294
10,2015,2417
10,2016,2482
10,2017,2535
10,2018,2616
10,2019,2673
11,1990,408
11,1991,437
11,1992,471
11,1993,498
11,1994,524
11,1995,532
11,1996,526
11,1997,507
11,1998,508
11,1999,516
11,2000,534
11,2001,541
11,2002,561
11,2003,594
11,2004,606
11,2005,615
11,2006,611
11,2007,621
11,2008,626
11,2009,643
11,2010,647
11,2011,643
11,2012,638
11,2013,630
11,2014,617
11,2015,613
11,2016,596
11,2017,588
11,2018,590
11,2019,594
12,1990,101
12,1991,114
12,1992,133
12,1993,147
12,1994,162
12,1995,169
12,1996,176
12,1997,183
12,1998,190
12,1999,198
12,2000,208
12,2001,222
12,2002,235
12,2003,250
12,2004,261
12,2005,272
12,2006,280
12,2007,283
12,2008,275
12,2009,273
12,2010,278
12,2011,279
12,2012,280
12,2013,285
12,2014,292
12,2015,300
12,2016,310
12,2017,323
12,2018,334
12,2019,347
13,1990,4
13,1991,5
13,1992,6
13,1993,7
13,1994,8
13,1995,9
13,1996,10
13,1997,9
13,1998,9
13,1999,12
13,2000,12
13,2001,12
13,2002,11
13,2003,10
13,2004,10
13,2005,9
13,2006,10
13,2007,8
13,2008,8
13,2009,8
13,2010,8
13,2011,8
13,2012,8
13,2013,8
13,2014,8
13,2015,9
13,2016,9
13,2017,9
13,2018,9
13,2019,9
14,1990,6
14,1991,7
14,1992,7
14,1993,8
14,1994,9
14,1995,10
14,1996,10
14,1997,11
14,1998,12
14,1999,12
14,2000,14
14,2001,13
14,2002,13
14,2003,14
14,2004,15
14,2005,17
14,2006,18
14,2007,19
14,2008,20
14,2009,21
14,2010,21
14,2011,22
14,2012,23
14,2013,23
14,2014,24
14,2015,25
14,2016,26
14,2017,26
14,2018,28
14,2019,28
15,1990,717
15,1991,695
15,1992,713
15,1993,727
15,1994,740
15,1995,765
15,1996,774
15,1997,777
15,1998,778
15,1999,781
15,2000,808
15,2001,811
15,2002,823
15,2003,841
15,2004,864
15,2005,899
15,2006,936
15,2007,959
15,2008,962
15,2009,972
15,2010,981
15,2011,970
15,2012,985
15,2013,1025
15,2014,1088
15,2015,1117
15,2016,1197
15,2017,1290
15,2018,1338
15,2019,1384
16,1990,3
16,1991,3
16,1992,3
16,1993,3
16,1994,4
16,1995,4
16,1996,4
16,1997,4
16,1998,4
16,1999,4
16,2000,4
16,2001,4
16,2002,4
16,2003,4
16,2004,4
16,2005,4
16,2006,4
16,2007,4
16,2008,4
16,2009,4
16,2010,4
16,2011,4
16,2012,4
16,2013,4
16,2014,4
16,2015,4
16,2016,4
16,2017,4
16,2018,4
16,2019,4
17,1990,370
17,1991,396
17,1992,430
17,1993,488
17,1994,513
17,1995,553
17,1996,568
17,1997,597
17,1998,639
17,1999,713
17,2000,720
17,2001,801
17,2002,1000
17,2003,1066
17,2004,1054
17,2005,1115
17,2006,1114
17,2007,1125
17,2008,1120
17,2009,1178
17,2010,1258
17,2011,1271
17,2012,1117
17,2013,1075
17,2014,1035
17,2015,965
17,2016,923
17,2017,895
17,2018,876
17,2019,862
18,1990,430
18,1991,451
18,1992,472
18,1993,510
18,1994,541
18,1995,568
18,1996,586
18,1997,599
18,1998,606
18,1999,624
18,2000,637
18,2001,640
18,2002,643
18,2003,641
18,2004,639
18,2005,653
18,2006,663
18,2007,699
18,2008,748
18,2009,767
18,2010,784
18,2011,801
18,2012,824
18,2013,839
18,2014,845
18,2015,865
18,2016,864
18,2017,871
18,2018,880
18,2019,894
19,1990,1
19,1991,1
19,1992,1
19,1993,2
19,1994,2
19,1995,2
19,1996,2
19,1997,2
19,1998,3
19,1999,3
19,2000,4
19,2001,4
19,2002,4
19,2003,4
19,2004,4
19,2005,4
19,2006,4
19,2007,4
19,2008,4
19,2009,4
19,2010,5
19,2011,5
19,2012,5
19,2013,5
19,2014,6
19,2015,7
19,2016,6
19,2017,7
19,2018,7
19,2019,7
20,1990,8
20,1991,10
20,1992,13
20,1993,19
20,1994,27
20,1995,39
20,1996,52
20,1997,67
20,1998,82
20,1999,97
20,2000,111
20,2001,122
20,2002,131
20,2003,139
20,2004,144
20,2005,148
20,2006,150
20,2007,147
20,2008,113
20,2009,76
20,2010,69
20,2011,67
20,2012,66
20,2013,73
20,2014,82
20,2015,85
20,2016,84
20,2017,86
20,2018,87
20,2019,87
21,1990,1
21,1991,1
21,1992,1
21,1993,2
21,1994,2
21,1995,2
21,1996,2
21,1997,2
21,1998,2
21,1999,2
21,2000,3
21,2001,2
21,2002,2
21,2003,2
21,2004,2
21,2005,2
21,2006,2
21,2007,2
21,2008,2
21,2009,2
21,2010,2
21,2011,2
21,2012,2
21,2013,2
21,2014,2
21,2015,2
21,2016,2
21,2017,2
21,2018,2
21,2019,2
22,1990,10
22,1991,11
22,1992,11
22,1993,11
22,1994,12
22,1995,12
22,1996,12
22,1997,13
22,1998,14
22,1999,14
22,2000,15
22,2001,15
22,2002,15
22,2003,16
22,2004,16
22,2005,17
22,2006,17
22,2007,19
22,2008,20
22,2009,22
22,2010,23
22,2011,24
22,2012,24
22,2013,25
22,2014,26
22,2015,26
22,2016,27
22,2017,28
22,2018,28
22,2019,28
23,1990,73
23,1991,76
23,1992,80
23,1993,83
23,1994,87
23,1995,91
23,1996,95
23,1997,102
23,1998,107
23,1999,111
23,2000,116
23,2001,120
23,2002,124
23,2003,128
23,2004,131
23,2005,135
23,2006,139
23,2007,145
23,2008,150
23,2009,155
23,2010,160
23,2011,165
23,2012,170
23,2013,175
23,2014,178
23,2015,186
23,2016,196
23,2017,205
23,2018,213
23,2019,220
24,1990,129
24,1991,142
24,1992,144
24,1993,147
24,1994,149
24,1995,149
24,1996,147
24,1997,147
24,1998,143
24,1999,142
24,2000,145
24,2001,148
24,2002,151
24,2003,155
24,2004,156
24,2005,163
24,2006,164
24,2007,174
24,2008,171
24,2009,174
24,2010,176
24,2011,177
24,2012,179
24,2013,183
24,2014,187
24,2015,190
24,2016,189
24,2017,189
24,2018,190
24,2019,190
25,1990,46
25,1991,60
25,1992,80
25,1993,107
25,1994,140
25,1995,179
25,1996,222
25,1997,266
25,1998,311
25,1999,352
25,2000,390
25,2001,420
25,2002,436
25,2003,424
25,2004,382
25,2005,330
25,2006,294
25,2007,273
25,2008,257
25,2009,238
25,2010,229
25,2011,226
25,2012,224
25,2013,221
25,2014,219
25,2015,220
25,2016,218
25,2017,223
25,2018,229
25,2019,230
26,1990,3079
26,1991,3613
26,1992,4144
26,1993,4855
26,1994,5517
26,1995,6045
26,1996,5941
26,1997,5047
26,1998,4599
26,1999,4401
26,2000,4445
26,2001,4544
26,2002,4643
26,2003,4849
26,2004,4882
26,2005,4973
26,2006,5056
26,2007,5253
26,2008,5506
26,2009,5710
26,2010,5926
26,2011,6076
26,2012,6192
26,2013,6409
26,2014,6544
26,2015,6636
26,2016,6771
26,2017,6815
26,2018,6846
26,2019,6892
27,1990,7
27,1991,7
27,1992,8
27,1993,8
27,1994,9
27,1995,9
27,1996,10
27,1997,10
27,1998,10
27,1999,9
27,2000,9
27,2001,9
27,2002,9
27,2003,9
27,2004,9
27,2005,9
27,2006,9
27,2007,9
27,2008,9
27,2009,10
27,2010,10
27,2011,11
27,2012,11
27,2013,12
27,2014,12
27,2015,13
27,2016,14
27,2017,14
27,2018,15
27,2019,15
28,1990,388
28,1991,388
28,1992,410
28,1993,428
28,1994,459
28,1995,464
28,1996,479
28,1997,506
28,1998,518
28,1999,491
28,2000,494
28,2001,503
28,2002,511
28,2003,539
28,2004,573
28,2005,628
28,2006,649
28,2007,656
28,2008,657
28,2009,639
28,2010,632
28,2011,619
28,2012,610
28,2013,594
28,2014,613
28,2015,613
28,2016,621
28,2017,626
28,2018,629
28,2019,630
29,1990,352
29,1991,419
29,1992,476
29,1993,519
29,1994,549
29,1995,565
29,1996,572
29,1997,568
29,1998,557
29,1999,541
29,2000,523
29,2001,502
29,2002,479
29,2003,449
29,2004,412
29,2005,370
29,2006,327
29,2007,295
29,2008,270
29,2009,245
29,2010,224
29,2011,207
29,2012,204
29,2013,204
29,2014,198
29,2015,192
29,2016,187
29,2017,174
29,2018,162
29,2019,158
30,1990,63
30,1991,79
30,1992,96
30,1993,112
30,1994,129
30,1995,145
30,1996,157
30,1997,165
30,1998,171
30,1999,174
30,2000,173
30,2001,169
30,2002,165
30,2003,159
30,2004,151
30,2005,141
30,2006,132
30,2007,124
30,2008,116
30,2009,108
30,2010,102
30,2011,96
30,2012,92
30,2013,90
30,2014,88
30,2015,85
30,2016,81
30,2017,79
30,2018,79
30,2019,81
31,1990,206
31,1991,213
31,1992,233
31,1993,270
31,1994,339
31,1995,448
31,1996,600
31,1997,788
31,1998,1001
31,1999,1214
31,2000,1409
31,2001,1564
31,2002,1672
31,2003,1734
31,2004,1745
31,2005,1693
31,2006,1567
31,2007,1399
31,2008,1244
31,2009,1127
31,2010,1036
31,2011,963
31,2012,922
31,2013,909
31,2014,910
31,2015,910
31,2016,910
31,2017,911
31,2018,908
31,2019,908
32,1990,34
32,1991,42
32,1992,53
32,1993,68
32,1994,87
32,1995,112
32,1996,142
32,1997,177
32,1998,216
32,1999,256
32,2000,298
32,2001,337
32,2002,372
32,2003,400
32,2004,408
32,2005,409
32,2006,421
32,2007,426
32,2008,419
32,2009,420
32,2010,429
32,2011,442
32,2012,455
32,2013,479
32,2014,503
32,2015,501
32,2016,477
32,2017,439
32,2018,405
32,2019,393
33,1990,1821
33,1991,1929
33,1992,2041
33,1993,2174
33,1994,2256
33,1995,2383
33,1996,2337
33,1997,2258
33,1998,2334
33,1999,2389
33,2000,2478
33,2001,2536
33,2002,2624
33,2003,2697
33,2004,2752
33,2005,2882
33,2006,2963
33,2007,3109
33,2008,3224
33,2009,3326
33,2010,3436
33,2011,3552
33,2012,3737
33,2013,3909
33,2014,4152
33,2015,4381
33,2016,4556
33,2017,4725
33,2018,4903
33,2019,5062
34,1990,1
34,1991,2
34,1992,2
34,1993,2
34,1994,3
34,1995,3
34,1996,4
34,1997,4
34,1998,5
34,1999,5
34,2000,6
34,2001,6
34,2002,6
34,2003,7
34,2004,7
34,2005,6
34,2006,6
34,2007,6
34,2008,5
34,2009,6
34,2010,6
34,2011,6
34,2012,6
34,2013,5
34,2014,5
34,2015,5
34,2016,5
34,2017,5
34,2018,5
34,2019,5
35,1990,44
35,1991,67
35,1992,97
35,1993,132
35,1994,168
35,1995,200
35,1996,229
35,1997,253
35,1998,271
35,1999,284
35,2000,292
35,2001,297
35,2002,300
35,2003,301
35,2004,298
35,2005,292
35,2006,282
35,2007,266
35,2008,243
35,2009,229
35,2010,231
35,2011,236
35,2012,238
35,2013,236
35,2014,225
35,2015,208
35,2016,197
35,2017,188
35,2018,181
35,2019,177
36,1990,25
36,1991,33
36,1992,43
36,1993,56
36,1994,71
36,1995,87
36,1996,105
36,1997,122
36,1998,140
36,1999,156
36,2000,172
36,2001,185
36,2002,196
36,2003,206
36,2004,213
36,2005,214
36,2006,201
36,2007,185
36,2008,158
36,2009,129
36,2010,122
36,2011,131
36,2012,145
36,2013,156
36,2014,161
36,2015,153
36,2016,159
36,2017,178
36,2018,180
36,2019,175
37,1990,1042
37,1991,964
37,1992,911
37,1993,931
37,1994,985
37,1995,1050
37,1996,1082
37,1997,1071
37,1998,1065
37,1999,1061
37,2000,1076
37,2001,1137
37,2002,1161
37,2003,1196
37,2004,1209
37,2005,1197
37,2006,1211
37,2007,1249
37,2008,1276
37,2009,1343
37,2010,1376
37,2011,1393
37,2012,1447
37,2013,1523
37,2014,1579
37,2015,1637
37,2016,1645
37,2017,1698
37,2018,1741
37,2019,1781
38,1990,88100
38,1991,94211
38,1992,98593
38,1993,102067
38,1994,106073
38,1995,109253
38,1996,110468
38,1997,109794
38,1998,110458
38,1999,109373
38,2000,107619
38,2001,100541
38,2002,91715
38,2003,82769
38,2004,77411
38,2005,74647
38,2006,71912
38,2007,69979
38,2008,69722
38,2009,68413
38,2010,67547
38,2011,67020
38,2012,67076
38,2013,68862
38,2014,72491
38,2015,75533
38,2016,78237
38,2017,80786
38,2018,82950
38,2019,85238
39,1990,271
39,1991,284
39,1992,287
39,1993,290
39,1994,293
39,1995,291
39,1996,293
39,1997,284
39,1998,273
39,1999,277
39,2000,278
39,2001,285
39,2002,328
39,2003,317
39,2004,327
39,2005,324
39,2006,339
39,2007,341
