country_id,Year,number_of_deaths
1,1990,2580
1,1991,2667
1,1992,2800
1,1993,3089
1,1994,3477
1,1995,3918
1,1996,4097
1,1997,4142
1,1998,4337
1,1999,4571
1,2000,4752
1,2001,4863
1,2002,4735
1,2003,2874
1,2004,2315
1,2005,2250
1,2006,2223
1,2007,2234
1,2008,2563
1,2009,2705
1,2010,2394
1,2011,2300
1,2012,2255
1,2013,1700
1,2014,1549
1,2015,1531
1,2016,1350
1,2017,1311
1,2018,1386
1,2019,1154
2,1990,33
2,1991,8
2,1992,6
2,1993,6
2,1994,6
2,1995,4
2,1996,4
2,1997,4
2,1998,2
2,1999,2
2,2000,2
2,2001,1
2,2002,1
2,2003,1
2,2004,1
2,2005,1
2,2006,1
2,2007,1
2,2008,1
2,2009,1
2,2010,1
2,2011,1
2,2012,0
2,2013,0
2,2014,0
2,2015,0
2,2016,0
2,2017,0
2,2018,0
2,2019,0
3,1990,522
3,1991,474
3,1992,437
3,1993,404
3,1994,371
3,1995,342
3,1996,311
3,1997,259
3,1998,230
3,1999,216
3,2000,199
3,2001,181
3,2002,179
3,2003,165
3,2004,151
3,2005,146
3,2006,143
3,2007,142
3,2008,140
3,2009,140
3,2010,133
3,2011,128
3,2012,122
3,2013,118
3,2014,112
3,2015,111
3,2016,108
3,2017,105
3,2018,101
3,2019,97
4,1990,0
4,1991,0
4,1992,0
4,1993,0
4,1994,0
4,1995,0
4,1996,0
4,1997,0
4,1998,0
4,1999,0
4,2000,0
4,2001,0
4,2002,0
4,2003,0
4,2004,0
4,2005,0
4,2006,0
4,2007,0
4,2008,0
4,2009,0
4,2010,0
4,2011,0
4,2012,0
4,2013,0
4,2014,0
4,2015,0
4,2016,0
4,2017,0
4,2018,0
4,2019,0
5,1990,0
5,1991,0
5,1992,0
5,1993,0
5,1994,0
5,1995,0
5,1996,0
5,1997,0
5,1998,0
5,1999,0
5,2000,0
5,2001,0
5,2002,0
5,2003,0
5,2004,0
5,2005,0
5,2006,0
5,2007,0
5,2008,0
5,2009,0
5,2010,0
5,2011,0
5,2012,0
5,2013,0
5,2014,0
5,2015,0
5,2016,0
5,2017,0
5,2018,0
5,2019,0
6,1990,3827
6,1991,3835
6,1992,3817
6,1993,3854
6,1994,3943
6,1995,3978
6,1996,3878
6,1997,3776
6,1998,3656
6,1999,3564
6,2000,3457
6,2001,3338
6,2002,3220
6,2003,3129
6,2004,2271
6,2005,2048
6,2006,2058
6,2007,1839
6,2008,1791
6,2009,1964
6,2010,1714
6,2011,1628
6,2012,1473
6,2013,1350
6,2014,1253
6,2015,1036
6,2016,922
6,2017,897
6,2018,835
6,2019,714
7,1990,0
7,1991,0
7,1992,0
7,1993,0
7,1994,0
7,1995,0
7,1996,0
7,1997,0
7,1998,0
7,1999,0
7,2000,0
7,2001,0
7,2002,0
7,2003,0
7,2004,0
7,2005,0
7,2006,0
7,2007,0
7,2008,0
7,2009,0
7,2010,0
7,2011,0
7,2012,0
7,2013,0
7,2014,0
7,2015,0
7,2016,0
7,2017,0
7,2018,0
7,2019,0
8,1990,80
8,1991,75
8,1992,70
8,1993,65
8,1994,58
8,1995,60
8,1996,61
8,1997,59
8,1998,59
8,1999,60
8,2000,56
8,2001,61
8,2002,65
8,2003,63
8,2004,61
8,2005,57
8,2006,60
8,2007,61
8,2008,57
8,2009,63
8,2010,57
8,2011,54
8,2012,51
8,2013,50
8,2014,50
8,2015,50
8,2016,48
8,2017,47
8,2018,47
8,2019,47
9,1990,6
9,1991,4
9,1992,4
9,1993,3
9,1994,3
9,1995,3
9,1996,2
9,1997,2
9,1998,2
9,1999,2
9,2000,2
9,2001,1
9,2002,1
9,2003,1
9,2004,1
9,2005,1
9,2006,1
9,2007,1
9,2008,2
9,2009,2
9,2010,1
9,2011,1
9,2012,1
9,2013,1
9,2014,1
9,2015,1
9,2016,2
9,2017,1
9,2018,1
9,2019,1
10,1990,2
10,1991,2
10,1992,2
10,1993,2
10,1994,3
10,1995,3
10,1996,2
10,1997,2
10,1998,2
10,1999,3
10,2000,2
10,2001,2
10,2002,2
10,2003,1
10,2004,2
10,2005,2
10,2006,2
10,2007,2
10,2008,1
10,2009,2
10,2010,2
10,2011,2
10,2012,2
10,2013,1
10,2014,1
10,2015,1
10,2016,1
10,2017,1
10,2018,1
10,2019,1
11,1990,1
11,1991,1
11,1992,1
11,1993,1
11,1994,1
11,1995,0
11,1996,0
11,1997,0
11,1998,0
11,1999,0
11,2000,0
11,2001,0
11,2002,0
11,2003,0
11,2004,0
11,2005,0
11,2006,0
11,2007,0
11,2008,0
11,2009,0
11,2010,0
11,2011,0
11,2012,0
11,2013,0
11,2014,0
11,2015,0
11,2016,0
11,2017,0
11,2018,0
11,2019,0
12,1990,25
12,1991,26
12,1992,27
12,1993,27
12,1994,26
12,1995,24
12,1996,22
12,1997,20
12,1998,19
12,1999,17
12,2000,16
12,2001,14
12,2002,12
12,2003,11
12,2004,11
12,2005,11
12,2006,10
12,2007,9
12,2008,9
12,2009,9
12,2010,9
12,2011,9
12,2012,8
12,2013,8
12,2014,7
12,2015,7
12,2016,6
12,2017,5
12,2018,5
12,2019,5
13,1990,0
13,1991,1
13,1992,1
13,1993,1
13,1994,1
13,1995,1
13,1996,0
13,1997,1
13,1998,1
13,1999,1
13,2000,1
13,2001,1
13,2002,0
13,2003,1
13,2004,1
13,2005,1
13,2006,1
13,2007,1
13,2008,1
13,2009,1
13,2010,1
13,2011,1
13,2012,1
13,2013,1
13,2014,1
13,2015,1
13,2016,1
13,2017,1
13,2018,1
13,2019,1
14,1990,1
14,1991,1
14,1992,1
14,1993,1
14,1994,1
14,1995,1
14,1996,1
14,1997,1
14,1998,1
14,1999,1
14,2000,1
14,2001,1
14,2002,1
14,2003,1
14,2004,1
14,2005,1
14,2006,1
14,2007,1
14,2008,1
14,2009,1
14,2010,1
14,2011,1
14,2012,1
14,2013,1
14,2014,1
14,2015,1
14,2016,1
14,2017,1
14,2018,1
14,2019,1
15,1990,9011
15,1991,8137
15,1992,7591
15,1993,6897
15,1994,6290
15,1995,5883
15,1996,5224
15,1997,4627
15,1998,4031
15,1999,3566
15,2000,3388
15,2001,3132
15,2002,2973
15,2003,2766
15,2004,2540
15,2005,2454
15,2006,2295
15,2007,1769
15,2008,1557
15,2009,1441
15,2010,1413
15,2011,1352
15,2012,1450
15,2013,1424
15,2014,1399
15,2015,1332
15,2016,1275
15,2017,1210
15,2018,1167
15,2019,1132
16,1990,0
16,1991,0
16,1992,0
16,1993,0
16,1994,0
16,1995,0
16,1996,0
16,1997,0
16,1998,0
16,1999,0
16,2000,0
16,2001,0
16,2002,0
16,2003,0
16,2004,0
16,2005,0
16,2006,0
16,2007,0
16,2008,0
16,2009,0
16,2010,0
16,2011,0
16,2012,0
16,2013,0
16,2014,0
16,2015,0
16,2016,0
16,2017,0
16,2018,0
16,2019,0
17,1990,5
17,1991,5
17,1992,4
17,1993,4
17,1994,3
17,1995,3
17,1996,3
17,1997,3
17,1998,3
17,1999,3
17,2000,3
17,2001,2
17,2002,2
17,2003,2
17,2004,2
17,2005,2
17,2006,2
17,2007,2
17,2008,2
17,2009,2
17,2010,2
17,2011,2
17,2012,2
17,2013,2
17,2014,2
17,2015,2
17,2016,2
17,2017,2
17,2018,2
17,2019,2
18,1990,1
18,1991,1
18,1992,1
18,1993,1
18,1994,1
18,1995,1
18,1996,1
18,1997,1
18,1998,1
18,1999,1
18,2000,1
18,2001,1
18,2002,1
18,2003,1
18,2004,0
18,2005,1
18,2006,1
18,2007,1
18,2008,1
18,2009,1
18,2010,1
18,2011,1
18,2012,1
18,2013,0
18,2014,1
18,2015,0
18,2016,0
18,2017,0
18,2018,0
18,2019,0
19,1990,0
19,1991,0
19,1992,0
19,1993,0
19,1994,0
19,1995,0
19,1996,0
19,1997,1
19,1998,1
19,1999,1
19,2000,1
