country_id,Year,number_of_deaths
1,1990,9518
1,1991,9489
1,1992,9528
1,1993,9611
1,1994,9675
1,1995,9608
1,1996,9503
1,1997,9286
1,1998,9024
1,1999,8857
1,2000,8829
1,2001,9047
1,2002,9151
1,2003,9410
1,2004,9759
1,2005,10051
1,2006,10519
1,2007,11218
1,2008,12106
1,2009,12982
1,2010,13785
1,2011,14666
1,2012,15603
1,2013,16511
1,2014,17451
1,2015,18383
1,2016,19346
1,2017,20345
1,2018,21251
1,2019,22048
2,1990,1417
2,1991,1463
2,1992,1415
2,1993,1363
2,1994,1301
2,1995,1371
2,1996,1450
2,1997,1531
2,1998,1606
2,1999,1679
2,2000,1718
2,2001,1717
2,2002,1849
2,2003,2033
2,2004,2111
2,2005,2139
2,2006,2091
2,2007,2069
2,2008,2162
2,2009,2196
2,2010,2268
2,2011,2376
2,2012,2459
2,2013,2553
2,2014,2675
2,2015,2799
2,2016,2885
2,2017,2967
2,2018,3044
2,2019,3120
3,1990,14353
3,1991,14982
3,1992,15434
3,1993,15897
3,1994,16381
3,1995,16735
3,1996,17036
3,1997,17301
3,1998,17488
3,1999,18066
3,2000,18498
3,2001,18986
3,2002,19540
3,2003,20182
3,2004,20869
3,2005,21533
3,2006,22225
3,2007,22961
3,2008,23732
3,2009,24572
3,2010,25412
3,2011,26382
3,2012,27365
3,2013,28379
3,2014,29564
3,2015,30766
3,2016,31789
3,2017,33044
3,2018,34597
3,2019,36087
4,1990,44
4,1991,47
4,1992,49
4,1993,51
4,1994,54
4,1995,56
4,1996,58
4,1997,60
4,1998,62
4,1999,64
4,2000,66
4,2001,68
4,2002,71
4,2003,73
4,2004,75
4,2005,76
4,2006,76
4,2007,77
4,2008,77
4,2009,77
4,2010,78
4,2011,80
4,2012,82
4,2013,84
4,2014,86
4,2015,88
4,2016,90
4,2017,92
4,2018,93
4,2019,95
5,1990,22
5,1991,23
5,1992,24
5,1993,26
5,1994,27
5,1995,27
5,1996,28
5,1997,29
5,1998,29
5,1999,30
5,2000,31
5,2001,32
5,2002,34
5,2003,35
5,2004,37
5,2005,38
5,2006,39
5,2007,41
5,2008,43
5,2009,44
5,2010,46
5,2011,45
5,2012,46
5,2013,47
5,2014,49
5,2015,51
5,2016,52
5,2017,54
5,2018,56
5,2019,58
6,1990,1158
6,1991,1194
6,1992,1242
6,1993,1312
6,1994,1382
6,1995,1435
6,1996,1470
6,1997,1540
6,1998,1664
6,1999,1784
6,2000,1888
6,2001,1966
6,2002,2049
6,2003,2188
6,2004,2358
6,2005,2458
6,2006,2622
6,2007,2771
6,2008,2994
6,2009,3238
6,2010,3502
6,2011,3813
6,2012,4174
6,2013,4531
6,2014,4810
6,2015,5219
6,2016,5636
6,2017,6092
6,2018,6545
6,2019,6981
7,1990,39
7,1991,41
7,1992,42
7,1993,46
7,1994,47
7,1995,48
7,1996,47
7,1997,47
7,1998,48
7,1999,48
7,2000,49
7,2001,50
7,2002,51
7,2003,52
7,2004,54
7,2005,56
7,2006,58
7,2007,64
7,2008,66
7,2009,65
7,2010,67
7,2011,69
7,2012,71
7,2013,74
7,2014,77
7,2015,80
7,2016,83
7,2017,86
7,2018,88
7,2019,91
8,1990,22271
8,1991,22689
8,1992,23518
8,1993,23909
8,1994,24043
8,1995,24729
8,1996,25447
8,1997,26237
8,1998,27296
8,1999,28226
8,2000,28032
8,2001,28610
8,2002,29460
8,2003,30052
8,2004,29713
8,2005,29490
8,2006,29689
8,2007,30527
8,2008,29994
8,2009,30291
8,2010,30861
8,2011,31240
8,2012,31548
8,2013,31946
8,2014,32192
8,2015,33167
8,2016,34897
8,2017,35840
8,2018,35980
8,2019,36676
9,1990,2157
9,1991,2314
9,1992,2629
9,1993,2786
9,1994,2710
9,1995,2804
9,1996,2933
9,1997,2928
9,1998,3000
9,1999,3086
9,2000,3137
9,2001,3286
9,2002,3393
9,2003,3550
9,2004,3590
9,2005,3709
9,2006,3834
9,2007,3917
9,2008,4068
9,2009,4137
9,2010,4191
9,2011,4219
9,2012,4224
9,2013,4146
9,2014,4164
9,2015,4286
9,2016,4280
9,2017,4356
9,2018,4411
9,2019,4463
10,1990,12439
10,1991,12434
10,1992,12656
10,1993,12715
10,1994,13017
10,1995,13068
10,1996,13305
10,1997,13363
10,1998,13411
10,1999,13449
10,2000,13557
10,2001,13685
10,2002,13949
10,2003,14038
10,2004,14000
10,2005,14012
10,2006,14225
10,2007,14674
10,2008,14995
10,2009,15049
10,2010,15129
10,2011,15365
10,2012,15404
10,2013,15593
10,2014,16075
10,2015,16573
10,2016,16747
10,2017,17255
10,2018,18067
10,2019,18712
11,1990,7055
11,1991,7155
11,1992,7209
11,1993,7244
11,1994,7230
11,1995,7332
11,1996,7456
11,1997,7455
11,1998,7501
11,1999,7543
11,2000,7521
11,2001,7421
11,2002,7491
11,2003,7564
11,2004,7501
11,2005,7587
11,2006,7551
11,2007,7619
11,2008,7669
11,2009,7850
11,2010,7955
11,2011,8089
11,2012,8305
11,2013,8433
11,2014,8565
11,2015,8809
11,2016,8836
11,2017,8778
11,2018,8844
11,2019,8982
12,1990,5616
12,1991,5966
12,1992,6449
12,1993,6846
12,1994,7162
12,1995,7171
12,1996,7157
