country_id,Year,number_of_deaths
1,1990,34372
1,1991,35392
1,1992,38065
1,1993,41154
1,1994,43153
1,1995,44024
1,1996,45005
1,1997,46017
1,1998,46055
1,1999,45681
1,2000,45132
1,2001,45028
1,2002,44137
1,2003,44953
1,2004,44534
1,2005,43280
1,2006,41778
1,2007,40047
1,2008,38320
1,2009,36675
1,2010,35511
1,2011,34380
1,2012,33223
1,2013,32344
1,2014,31296
1,2015,30407
1,2016,29929
1,2017,29497
1,2018,28818
1,2019,28168
2,1990,1978
2,1991,2033
2,1992,1964
2,1993,1881
2,1994,1771
2,1995,1792
2,1996,1796
2,1997,1757
2,1998,1692
2,1999,1609
2,2000,1514
2,2001,1402
2,2002,1397
2,2003,1416
2,2004,1352
2,2005,1261
2,2006,1131
2,2007,1015
2,2008,961
2,2009,887
2,2010,842
2,2011,826
2,2012,806
2,2013,793
2,2014,788
2,2015,783
2,2016,766
2,2017,751
2,2018,737
2,2019,724
3,1990,3086
3,1991,2799
3,1992,2522
3,1993,2261
3,1994,2023
3,1995,1796
3,1996,1584
3,1997,1384
3,1998,1197
3,1999,1048
3,2000,912
3,2001,796
3,2002,691
3,2003,597
3,2004,517
3,2005,448
3,2006,387
3,2007,331
3,2008,281
3,2009,238
3,2010,205
3,2011,180
3,2012,157
3,2013,137
3,2014,121
3,2015,107
3,2016,95
3,2017,85
3,2018,76
3,2019,66
4,1990,11
4,1991,10
4,1992,10
4,1993,9
4,1994,9
4,1995,9
4,1996,9
4,1997,9
4,1998,8
4,1999,8
4,2000,8
4,2001,8
4,2002,8
4,2003,7
4,2004,7
4,2005,7
4,2006,7
4,2007,7
4,2008,7
4,2009,8
4,2010,8
4,2011,8
4,2012,7
4,2013,7
4,2014,7
4,2015,7
4,2016,6
4,2017,6
4,2018,6
4,2019,6
5,1990,0
5,1991,0
5,1992,0
5,1993,0
5,1994,0
5,1995,0
5,1996,0
5,1997,0
5,1998,0
5,1999,0
5,2000,0
5,2001,0
5,2002,0
5,2003,0
5,2004,0
5,2005,0
5,2006,0
5,2007,0
5,2008,0
5,2009,0
5,2010,0
5,2011,0
5,2012,0
5,2013,0
5,2014,0
5,2015,0
5,2016,0
5,2017,0
5,2018,0
5,2019,0
6,1990,19242
6,1991,19483
6,1992,19733
6,1993,20126
6,1994,20421
6,1995,20513
6,1996,20324
6,1997,20205
6,1998,20249
6,1999,20140
6,2000,19934
6,2001,19550
6,2002,19069
6,2003,18725
6,2004,18750
6,2005,18168
6,2006,17718
6,2007,17129
6,2008,16575
6,2009,15877
6,2010,15301
6,2011,14554
6,2012,13777
6,2013,12846
6,2014,11837
6,2015,11101
6,2016,10341
6,2017,9691
6,2018,9174
6,2019,8726
7,1990,3
7,1991,3
7,1992,2
7,1993,2
7,1994,2
7,1995,2
7,1996,2
7,1997,2
7,1998,1
7,1999,1
7,2000,1
7,2001,1
7,2002,1
7,2003,1
7,2004,1
7,2005,1
7,2006,1
7,2007,1
7,2008,1
7,2009,1
7,2010,1
7,2011,1
7,2012,1
7,2013,1
7,2014,1
7,2015,1
7,2016,1
7,2017,1
7,2018,1
7,2019,0
8,1990,3964
8,1991,3693
8,1992,3491
8,1993,3240
8,1994,2973
8,1995,2813
8,1996,2660
8,1997,2521
8,1998,2417
8,1999,2300
8,2000,2097
8,2001,1978
8,2002,1889
8,2003,1793
8,2004,1641
8,2005,1506
8,2006,1407
8,2007,1347
8,2008,1222
8,2009,1144
8,2010,1091
8,2011,1036
8,2012,979
8,2013,935
8,2014,886
8,2015,853
8,2016,834
8,2017,791
8,2018,739
8,2019,708
9,1990,941
9,1991,983
9,1992,1078
9,1993,1115
9,1994,1056
9,1995,1047
9,1996,1047
9,1997,991
9,1998,959
9,1999,933
9,2000,892
9,2001,857
9,2002,787
9,2003,705
9,2004,601
9,2005,523
9,2006,453
9,2007,370
9,2008,302
9,2009,240
9,2010,199
9,2011,172
9,2012,148
9,2013,127
9,2014,113
9,2015,104
9,2016,96
9,2017,90
9,2018,84
9,2019,78
10,1990,143
10,1991,130
10,1992,121
10,1993,110
10,1994,103
10,1995,94
10,1996,86
10,1997,78
10,1998,70
10,1999,63
10,2000,56
10,2001,50
10,2002,45
10,2003,39
10,2004,34
10,2005,30
10,2006,27
10,2007,25
10,2008,23
10,2009,21
10,2010,20
10,2011,19
10,2012,17
10,2013,16
10,2014,16
10,2015,15
10,2016,14
10,2017,14
10,2018,14
10,2019,13
11,1990,52
11,1991,49
11,1992,45
11,1993,42
11,1994,39
11,1995,37
11,1996,35
11,1997,33
11,1998,31
11,1999,29
11,2000,27
11,2001,24
11,2002,23
11,2003,21
11,2004,20
11,2005,18
11,2006,17
11,2007,16
11,2008,14
11,2009,14
11,2010,13
11,2011,12
11,2012,12
11,2013,11
11,2014,11
11,2015,11
11,2016,10
11,2017,9
11,2018,9
11,2019,9
12,1990,4140
12,1991,4237
12,1992,4374
12,1993,4453
12,1994,4475
12,1995,4295
12,1996,4092
12,1997,3845
12,1998,3648
12,1999,3461
12,2000,3253
12,2001,3024
12,2002,2840
12,2003,2680
12,2004,2464
12,2005,2291
12,2006,2064
12,2007,1789
12,2008,1541
12,2009,1325
12,2010,1174
12,2011,1082
12,2012,1003
12,2013,937
12,2014,885
12,2015,828
12,2016,789
12,2017,757
12,2018,702
12,2019,666
13,1990,8
13,1991,8
13,1992,8
13,1993,7
13,1994,7
13,1995,7
13,1996,7
13,1997,6
13,1998,5
13,1999,5
13,2000,4
13,2001,4
13,2002,4
13,2003,4
13,2004,4
13,2005,3
13,2006,3
13,2007,3
13,2008,3
13,2009,3
13,2010,3
13,2011,3
13,2012,2
13,2013,2
13,2014,2
13,2015,2
13,2016,2
13,2017,2
13,2018,2
13,2019,2
14,1990,26
14,1991,24
14,1992,22
14,1993,20
14,1994,18
14,1995,16
14,1996,14
14,1997,13
14,1998,11
14,1999,10
14,2000,8
14,2001,7
14,2002,6
14,2003,6
14,2004,5
14,2005,5
14,2006,4
14,2007,4
14,2008,3
14,2009,3
14,2010,3
14,2011,3
14,2012,2
14,2013,2
14,2014,2
14,2015,2
14,2016,2
14,2017,2
14,2018,2
14,2019,2
15,1990,168188
15,1991,158282
15,1992,154476
15,1993,149803
15,1994,145567
15,1995,143729
15,1996,139290
15,1997,134664
15,1998,131245
15,1999,129054
15,2000,129081
15,2001,127669
15,2002,128797
15,2003,129708
15,2004,129416
15,2005,130572
15,2006,131190
15,2007,129410
15,2008,125537
15,2009,122790
15,2010,120919
15,2011,112141
15,2012,104134
15,2013,100312
15,2014,99198
15,2015,96424
15,2016,96138
15,2017,98828
15,2018,97347
15,2019,94789
16,1990,1
16,1991,1
16,1992,1
16,1993,1
16,1994,1
16,1995,1
16,1996,1
16,1997,1
16,1998,1
16,1999,0
16,2000,0
16,2001,0
16,2002,0
16,2003,0
16,2004,0
16,2005,0
16,2006,0
16,2007,0
16,2008,0
16,2009,0
16,2010,0
16,2011,0
16,2012,0
16,2013,0
16,2014,0
16,2015,0
16,2016,0
16,2017,0
16,2018,0
16,2019,0
17,1990,924
17,1991,899
17,1992,870
17,1993,895
17,1994,855
17,1995,837
17,1996,791
17,1997,768
17,1998,747
17,1999,735
17,2000,665
17,2001,656
17,2002,646
17,2003,583
17,2004,529
17,2005,491
17,2006,426
17,2007,356
17,2008,305
17,2009,265
17,2010,233
17,2011,213
17,2012,173
17,2013,156
17,2014,141
17,2015,127
17,2016,118
17,2017,111
17,2018,102
17,2019,96
18,1990,45
18,1991,41
18,1992,38
18,1993,35
18,1994,32
18,1995,30
18,1996,28
18,1997,26
18,1998,24
18,1999,23
18,2000,21
18,2001,19
18,2002,18
18,2003,17
18,2004,15
18,2005,14
18,2006,12
18,2007,12
18,2008,11
18,2009,10
18,2010,9
18,2011,9
18,2012,8
18,2013,8
18,2014,7
18,2015,7
18,2016,6
18,2017,6
18,2018,6
18,2019,6
19,1990,55
19,1991,50
19,1992,46
19,1993,44
19,1994,42
19,1995,42
