country_id,Year,number_of_deaths
1,1990,11449
1,1991,11811
1,1992,12265
1,1993,12821
1,1994,13400
1,1995,13871
1,1996,14413
1,1997,14970
1,1998,15502
1,1999,16058
1,2000,16545
1,2001,17144
1,2002,17467
1,2003,17921
1,2004,18397
1,2005,18652
1,2006,18917
1,2007,19183
1,2008,19498
1,2009,19730
1,2010,19883
1,2011,20216
1,2012,20593
1,2013,20961
1,2014,21441
1,2015,21991
1,2016,22660
1,2017,23427
1,2018,24183
1,2019,24888
2,1990,868
2,1991,902
2,1992,884
2,1993,865
2,1994,837
2,1995,893
2,1996,951
2,1997,998
2,1998,1039
2,1999,1084
2,2000,1117
2,2001,1123
2,2002,1222
2,2003,1351
2,2004,1401
2,2005,1412
2,2006,1374
2,2007,1350
2,2008,1404
2,2009,1422
2,2010,1465
2,2011,1535
2,2012,1591
2,2013,1656
2,2014,1741
2,2015,1826
2,2016,1885
2,2017,1947
2,2018,2036
2,2019,2158
3,1990,11690
3,1991,12250
3,1992,12848
3,1993,13468
3,1994,14132
3,1995,14707
3,1996,15250
3,1997,15779
3,1998,16261
3,1999,16998
3,2000,17566
3,2001,18244
3,2002,19051
3,2003,19822
3,2004,20774
3,2005,21664
3,2006,22648
3,2007,23784
3,2008,24937
3,2009,26136
3,2010,27162
3,2011,28294
3,2012,29411
3,2013,30498
3,2014,31878
3,2015,33313
3,2016,34482
3,2017,35832
3,2018,37467
3,2019,38978
4,1990,43
4,1991,45
4,1992,48
4,1993,50
4,1994,52
4,1995,55
4,1996,57
4,1997,60
4,1998,62
4,1999,64
4,2000,67
4,2001,69
4,2002,72
4,2003,74
4,2004,77
4,2005,78
4,2006,79
4,2007,81
4,2008,82
4,2009,84
4,2010,85
4,2011,87
4,2012,89
4,2013,91
4,2014,93
4,2015,94
4,2016,96
4,2017,98
4,2018,100
4,2019,102
5,1990,14
5,1991,15
5,1992,16
5,1993,17
5,1994,18
5,1995,19
5,1996,20
5,1997,21
5,1998,22
5,1999,23
5,2000,24
5,2001,25
5,2002,27
5,2003,28
5,2004,30
5,2005,31
5,2006,32
5,2007,34
5,2008,35
5,2009,37
5,2010,39
5,2011,39
5,2012,40
5,2013,42
5,2014,44
5,2015,46
5,2016,47
5,2017,50
5,2018,52
5,2019,54
6,1990,3930
6,1991,4043
6,1992,4174
6,1993,4352
6,1994,4521
6,1995,4636
6,1996,4679
6,1997,4790
6,1998,5002
6,1999,5191
6,2000,5353
6,2001,5456
6,2002,5534
6,2003,5734
6,2004,6020
6,2005,6114
6,2006,6380
6,2007,6586
6,2008,6910
6,2009,7230
6,2010,7545
6,2011,7892
6,2012,8278
6,2013,8606
6,2014,8779
6,2015,9146
6,2016,9492
6,2017,9891
6,2018,10322
6,2019,10753
7,1990,83
7,1991,87
7,1992,89
7,1993,96
7,1994,98
7,1995,98
7,1996,93
7,1997,92
7,1998,92
7,1999,92
7,2000,92
7,2001,92
7,2002,93
7,2003,94
7,2004,95
7,2005,96
7,2006,98
7,2007,109
7,2008,110
7,2009,104
7,2010,106
7,2011,108
7,2012,109
7,2013,111
7,2014,115
7,2015,118
7,2016,121
7,2017,123
7,2018,126
7,2019,130
8,1990,23040
8,1991,23242
8,1992,23940
8,1993,24239
8,1994,24199
8,1995,24817
8,1996,25350
8,1997,26163
8,1998,27281
8,1999,28137
8,2000,27640
8,2001,27874
8,2002,28339
8,2003,28653
8,2004,28008
8,2005,27533
8,2006,27546
8,2007,28339
8,2008,27704
8,2009,28011
8,2010,28701
8,2011,29211
8,2012,29692
8,2013,30416
8,2014,31043
8,2015,32446
8,2016,34856
8,2017,36691
8,2018,37660
8,2019,39517
9,1990,1945
9,1991,2230
9,1992,2683
9,1993,2999
9,1994,3019
9,1995,3227
9,1996,3479
9,1997,3595
9,1998,3822
9,1999,4040
9,2000,4204
9,2001,4473
9,2002,4709
9,2003,4981
9,2004,5011
9,2005,5133
9,2006,5222
9,2007,5189
9,2008,5284
9,2009,5259
9,2010,5274
9,2011,5260
9,2012,5216
9,2013,5089
9,2014,5074
9,2015,5189
9,2016,5168
9,2017,5276
9,2018,5354
9,2019,5442
10,1990,9272
10,1991,9691
10,1992,10363
10,1993,10926
10,1994,11704
10,1995,12196
10,1996,12957
10,1997,13605
10,1998,14241
10,1999,14798
10,2000,15233
10,2001,15630
10,2002,16238
10,2003,16548
10,2004,16583
10,2005,16520
10,2006,16624
10,2007,16931
10,2008,17058
10,2009,16770
10,2010,16565
10,2011,16640
10,2012,16417
10,2013,16268
10,2014,16539
10,2015,16922
10,2016,17085
10,2017,17712
10,2018,18093
10,2019,17650
11,1990,6000
11,1991,6137
11,1992,6218
11,1993,6280
11,1994,6304
11,1995,6462
11,1996,6598
11,1997,6642
11,1998,6741
11,1999,6879
11,2000,7003
11,2001,7116
11,2002,7477
11,2003,7893
11,2004,8118
11,2005,8413
11,2006,8521
11,2007,8723
11,2008,8897
11,2009,9177
11,2010,9277
11,2011,9412
11,2012,9644
11,2013,9778
11,2014,9922
11,2015,10217
11,2016,10194
