country_id,Year,number_of_deaths
1,1990,4825
1,1991,5127
1,1992,5889
1,1993,7007
1,1994,7421
1,1995,7896
1,1996,8098
1,1997,8507
1,1998,8560
1,1999,8424
1,2000,8233
1,2001,8144
1,2002,7915
1,2003,8482
1,2004,8440
1,2005,8033
1,2006,7481
1,2007,6900
1,2008,6291
1,2009,5793
1,2010,5535
1,2011,5275
1,2012,5045
1,2013,5041
1,2014,4889
1,2015,4693
1,2016,4568
1,2017,4411
1,2018,4078
1,2019,3941
2,1990,67
2,1991,70
2,1992,68
2,1993,64
2,1994,60
2,1995,52
2,1996,46
2,1997,40
2,1998,35
2,1999,28
2,2000,24
2,2001,19
2,2002,17
2,2003,15
2,2004,13
2,2005,12
2,2006,10
2,2007,9
2,2008,8
2,2009,8
2,2010,8
2,2011,8
2,2012,8
2,2013,8
2,2014,8
2,2015,8
2,2016,8
2,2017,8
2,2018,8
2,2019,8
3,1990,822
3,1991,742
3,1992,682
3,1993,651
3,1994,624
3,1995,595
3,1996,563
3,1997,549
3,1998,530
3,1999,515
3,2000,498
3,2001,480
3,2002,462
3,2003,440
3,2004,424
3,2005,407
3,2006,393
3,2007,378
3,2008,366
3,2009,357
3,2010,348
3,2011,343
3,2012,339
3,2013,341
3,2014,344
3,2015,344
3,2016,336
3,2017,331
3,2018,328
3,2019,326
4,1990,1
4,1991,1
4,1992,1
4,1993,1
4,1994,1
4,1995,1
4,1996,1
4,1997,1
4,1998,1
4,1999,1
4,2000,0
4,2001,0
4,2002,0
4,2003,0
4,2004,0
4,2005,0
4,2006,0
4,2007,0
4,2008,0
4,2009,0
4,2010,0
4,2011,0
4,2012,0
4,2013,0
4,2014,0
4,2015,0
4,2016,0
4,2017,0
4,2018,0
4,2019,0
5,1990,0
5,1991,0
5,1992,0
5,1993,0
5,1994,0
5,1995,0
5,1996,0
5,1997,0
5,1998,0
5,1999,0
5,2000,0
5,2001,0
5,2002,0
5,2003,0
5,2004,0
5,2005,0
5,2006,0
5,2007,0
5,2008,0
5,2009,0
5,2010,0
5,2011,0
5,2012,0
5,2013,0
5,2014,0
5,2015,0
5,2016,0
5,2017,0
5,2018,0
5,2019,0
6,1990,16208
6,1991,16372
6,1992,16479
6,1993,16800
6,1994,17249
6,1995,17469
6,1996,17140
6,1997,16923
6,1998,16829
6,1999,16514
6,2000,16136
6,2001,15397
6,2002,14590
6,2003,13783
6,2004,13494
6,2005,12809
6,2006,12887
6,2007,12140
6,2008,11660
6,2009,11139
6,2010,10859
6,2011,10566
6,2012,10235
6,2013,9794
6,2014,9168
6,2015,8727
6,2016,8137
6,2017,7809
6,2018,7250
6,2019,7009
7,1990,3
7,1991,3
7,1992,3
7,1993,3
7,1994,3
7,1995,3
7,1996,3
7,1997,3
7,1998,2
7,1999,2
7,2000,2
7,2001,2
7,2002,2
7,2003,2
7,2004,2
7,2005,2
7,2006,2
7,2007,2
7,2008,2
7,2009,2
7,2010,2
7,2011,2
7,2012,2
7,2013,2
7,2014,2
7,2015,2
7,2016,2
7,2017,2
7,2018,2
7,2019,2
8,1990,827
8,1991,819
8,1992,788
8,1993,761
8,1994,729
8,1995,743
8,1996,751
8,1997,762
8,1998,786
8,1999,810
8,2000,809
8,2001,832
8,2002,859
8,2003,883
8,2004,862
8,2005,837
8,2006,834
8,2007,861
8,2008,842
8,2009,855
8,2010,882
8,2011,899
8,2012,903
8,2013,927
8,2014,931
8,2015,959
8,2016,1003
8,2017,980
8,2018,944
8,2019,933
9,1990,106
9,1991,99
9,1992,95
9,1993,85
9,1994,76
9,1995,67
9,1996,59
9,1997,51
9,1998,44
9,1999,39
9,2000,34
9,2001,31
9,2002,29
9,2003,28
9,2004,27
9,2005,27
9,2006,28
9,2007,27
9,2008,27
9,2009,25
9,2010,25
9,2011,24
9,2012,23
9,2013,23
9,2014,23
9,2015,24
9,2016,25
9,2017,23
9,2018,22
9,2019,21
10,1990,43
10,1991,43
10,1992,45
10,1993,46
10,1994,49
10,1995,51
10,1996,55
10,1997,61
10,1998,59
10,1999,60
10,2000,65
10,2001,67
10,2002,70
10,2003,72
10,2004,71
10,2005,68
10,2006,67
10,2007,67
10,2008,65
10,2009,65
10,2010,67
10,2011,70
10,2012,72
10,2013,73
10,2014,76
10,2015,81
10,2016,84
10,2017,85
10,2018,88
10,2019,90
11,1990,15
11,1991,15
11,1992,14
11,1993,13
11,1994,13
11,1995,12
11,1996,12
11,1997,12
11,1998,12
11,1999,12
11,2000,12
11,2001,12
11,2002,12
11,2003,13
11,2004,12
11,2005,13
11,2006,12
11,2007,12
11,2008,12
11,2009,11
11,2010,11
11,2011,11
11,2012,11
11,2013,11
11,2014,12
11,2015,13
11,2016,13
11,2017,14
11,2018,14
11,2019,14
12,1990,758
12,1991,742
12,1992,728
12,1993,704
12,1994,674
12,1995,636
12,1996,596
12,1997,563
12,1998,539
12,1999,507
12,2000,469
12,2001,415
12,2002,376
12,2003,349
12,2004,327
12,2005,297
12,2006,262
12,2007,223
12,2008,197
12,2009,176
12,2010,161
12,2011,150
12,2012,141
12,2013,132
12,2014,125
12,2015,119
12,2016,112
12,2017,105
12,2018,97
12,2019,92
13,1990,5
13,1991,5
13,1992,6
13,1993,6
13,1994,6
13,1995,6
13,1996,6
13,1997,5
13,1998,5
13,1999,5
13,2000,5
13,2001,5
13,2002,5
13,2003,5
13,2004,5
13,2005,5
13,2006,5
13,2007,5
13,2008,5
13,2009,5
13,2010,5
13,2011,5
13,2012,5
13,2013,5
13,2014,6
13,2015,6
13,2016,6
13,2017,6
13,2018,6
13,2019,6
14,1990,3
14,1991,3
14,1992,3
14,1993,2
14,1994,2
14,1995,2
14,1996,2
14,1997,2
14,1998,2
14,1999,2
14,2000,2
14,2001,2
14,2002,3
14,2003,3
14,2004,4
14,2005,4
14,2006,4
14,2007,4
14,2008,4
14,2009,4
14,2010,4
14,2011,4
14,2012,4
14,2013,4
14,2014,4
14,2015,4
14,2016,4
14,2017,4
14,2018,4
14,2019,5
15,1990,54756
15,1991,52924
15,1992,50179
15,1993,47722
15,1994,45096
15,1995,42652
15,1996,39727
15,1997,36887
15,1998,34307
15,1999,32078
15,2000,30415
15,2001,28529
15,2002,27110
15,2003,25513
15,2004,23979
15,2005,22809
15,2006,21679
15,2007,20681
15,2008,19343
15,2009,18406
15,2010,17665
15,2011,16613
15,2012,15741
15,2013,15553
15,2014,15633
15,2015,15458
15,2016,15564
15,2017,15945
15,2018,15676
15,2019,15542
16,1990,8
16,1991,8
16,1992,8
16,1993,8
16,1994,9
