country_id,Year,number_of_deaths
1,1990,16135
1,1991,17924
1,1992,21200
1,1993,23795
1,1994,24866
1,1995,25534
1,1996,25997
1,1997,26246
1,1998,25805
1,1999,25080
1,2000,24549
1,2001,24859
1,2002,25441
1,2003,25617
1,2004,25459
1,2005,25149
1,2006,24354
1,2007,23778
1,2008,23533
1,2009,23232
1,2010,23176
1,2011,23181
1,2012,23172
1,2013,23176
1,2014,22946
1,2015,22692
1,2016,22640
1,2017,22579
1,2018,22379
1,2019,22132
2,1990,731
2,1991,723
2,1992,710
2,1993,696
2,1994,679
2,1995,648
2,1996,620
2,1997,621
2,1998,613
2,1999,538
2,2000,470
2,2001,430
2,2002,393
2,2003,362
2,2004,327
2,2005,299
2,2006,274
2,2007,248
2,2008,231
2,2009,211
2,2010,195
2,2011,186
2,2012,171
2,2013,156
2,2014,141
2,2015,130
2,2016,122
2,2017,115
2,2018,110
2,2019,106
3,1990,14803
3,1991,14372
3,1992,13957
3,1993,13576
3,1994,13126
3,1995,12633
3,1996,12192
3,1997,11804
3,1998,11451
3,1999,11158
3,2000,10941
3,2001,10718
3,2002,10565
3,2003,10520
3,2004,10478
3,2005,10445
3,2006,10425
3,2007,10367
3,2008,10308
3,2009,10200
3,2010,10006
3,2011,9809
3,2012,9569
3,2013,9469
3,2014,9408
3,2015,9177
3,2016,8749
3,2017,8099
3,2018,7550
3,2019,7092
4,1990,9
4,1991,9
4,1992,9
4,1993,9
4,1994,9
4,1995,9
4,1996,9
4,1997,9
4,1998,8
4,1999,8
4,2000,8
4,2001,8
4,2002,7
4,2003,7
4,2004,6
4,2005,6
4,2006,6
4,2007,5
4,2008,5
4,2009,5
4,2010,4
4,2011,4
4,2012,4
4,2013,4
4,2014,4
4,2015,4
4,2016,4
4,2017,3
4,2018,3
4,2019,3
5,1990,1
5,1991,1
5,1992,1
5,1993,1
5,1994,1
5,1995,1
5,1996,1
5,1997,1
5,1998,1
5,1999,1
5,2000,1
5,2001,1
5,2002,1
5,2003,1
5,2004,1
5,2005,1
5,2006,1
5,2007,1
5,2008,1
5,2009,1
5,2010,1
5,2011,1
5,2012,0
5,2013,0
5,2014,0
5,2015,0
5,2016,0
5,2017,0
5,2018,0
5,2019,0
6,1990,16517
6,1991,16878
6,1992,17174
6,1993,17580
6,1994,18008
6,1995,18375
6,1996,18614
6,1997,18831
6,1998,18912
6,1999,18914
6,2000,18937
6,2001,18944
6,2002,18926
6,2003,18935
6,2004,18944
6,2005,18877
6,2006,18879
6,2007,18692
6,2008,18531
6,2009,18468
6,2010,18418
6,2011,18312
6,2012,18227
6,2013,18075
6,2014,17856
6,2015,17524
6,2016,17093
6,2017,16660
6,2018,16322
6,2019,15876
7,1990,9
7,1991,9
7,1992,10
7,1993,10
7,1994,11
7,1995,11
7,1996,11
7,1997,11
7,1998,11
7,1999,10
7,2000,10
7,2001,10
7,2002,9
7,2003,9
7,2004,9
7,2005,8
7,2006,7
7,2007,7
7,2008,6
7,2009,6
7,2010,6
7,2011,5
7,2012,5
7,2013,5
7,2014,5
7,2015,5
7,2016,4
7,2017,4
7,2018,4
7,2019,4
8,1990,7612
8,1991,7487
8,1992,7021
8,1993,6718
8,1994,6330
8,1995,6014
8,1996,5831
8,1997,5549
8,1998,5594
8,1999,5259
8,2000,4946
8,2001,4832
8,2002,5049
8,2003,5037
8,2004,4678
8,2005,4156
8,2006,3962
8,2007,4141
8,2008,4145
8,2009,3972
8,2010,3930
8,2011,3795
8,2012,3547
8,2013,3517
8,2014,3458
8,2015,3126
8,2016,2950
8,2017,2800
8,2018,2714
8,2019,2662
9,1990,1090
9,1991,992
9,1992,915
9,1993,849
9,1994,784
9,1995,712
9,1996,655
9,1997,599
9,1998,541
9,1999,486
9,2000,446
9,2001,418
9,2002,389
9,2003,369
9,2004,356
9,2005,340
9,2006,320
9,2007,298
9,2008,287
9,2009,276
9,2010,260
9,2011,245
9,2012,223
9,2013,207
9,2014,196
9,2015,183
9,2016,180
9,2017,160
9,2018,146
9,2019,133
10,1990,747
10,1991,691
10,1992,692
10,1993,626
10,1994,599
10,1995,574
10,1996,561
10,1997,533
10,1998,514
10,1999,528
10,2000,506
10,2001,495
10,2002,486
10,2003,477
10,2004,483
10,2005,508
10,2006,516
10,2007,508
10,2008,503
10,2009,502
10,2010,493
10,2011,470
10,2012,443
10,2013,443
10,2014,418
10,2015,422
10,2016,409
10,2017,394
10,2018,382
10,2019,376
11,1990,255
11,1991,259
11,1992,262
11,1993,240
11,1994,227
11,1995,203
11,1996,187
11,1997,169
11,1998,162
11,1999,152
11,2000,157
11,2001,160
11,2002,157
11,2003,166
11,2004,160
11,2005,151
11,2006,138
11,2007,129
11,2008,125
11,2009,123
11,2010,122
11,2011,111
11,2012,102
11,2013,101
11,2014,100
11,2015,101
11,2016,103
11,2017,101
11,2018,94
11,2019,90
12,1990,3747
12,1991,3626
12,1992,3477
12,1993,3336
12,1994,3227
12,1995,3113
12,1996,3033
12,1997,2975
12,1998,2952
12,1999,2941
12,2000,2924
12,2001,2849
12,2002,2859
12,2003,2916
12,2004,2954
12,2005,2932
12,2006,2921
12,2007,2857
12,2008,2795
12,2009,2719
12,2010,2665
12,2011,2588
12,2012,2496
12,2013,2393
12,2014,2271
12,2015,2159
12,2016,2031
12,2017,1886
12,2018,1748
12,2019,1612
13,1990,45
13,1991,47
13,1992,47
13,1993,45
13,1994,42
13,1995,39
13,1996,38
13,1997,36
13,1998,33
13,1999,30
13,2000,27
13,2001,27
13,2002,28
13,2003,28
13,2004,29
13,2005,28
13,2006,27
13,2007,26
13,2008,26
13,2009,25
13,2010,24
13,2011,23
13,2012,22
13,2013,21
13,2014,20
13,2015,19
13,2016,19
13,2017,18
13,2018,17
13,2019,17
14,1990,126
14,1991,123
14,1992,117
14,1993,108
14,1994,96
14,1995,82
14,1996,69
14,1997,59
14,1998,55
14,1999,51
14,2000,49
14,2001,49
14,2002,48
14,2003,48
14,2004,49
14,2005,48
14,2006,47
14,2007,45
14,2008,43
14,2009,42
14,2010,40
14,2011,40
14,2012,41
14,2013,42
14,2014,42
14,2015,40
14,2016,36
14,2017,32
14,2018,29
14,2019,26
15,1990,161413
15,1991,158296
15,1992,153133
15,1993,147626
15,1994,142068
15,1995,137579
15,1996,133431
15,1997,129367
15,1998,124537
15,1999,119897
15,2000,115201
15,2001,111165
15,2002,108027
15,2003,104606
15,2004,100790
15,2005,96359
15,2006,91575
15,2007,87096
15,2008,82662
15,2009,78017
15,2010,73922
15,2011,70409
15,2012,66014
15,2013,61647
15,2014,57678
15,2015,53707
15,2016,50158
15,2017,46202
15,2018,42447
15,2019,39237
16,1990,37
16,1991,35
16,1992,33
16,1993,30
16,1994,29
16,1995,29
16,1996,29
16,1997,29
16,1998,29
16,1999,29
16,2000,29
16,2001,27
16,2002,27
16,2003,27
16,2004,26
16,2005,25
16,2006,25
16,2007,23
16,2008,23
16,2009,22
16,2010,21
16,2011,21
16,2012,19
16,2013,19
16,2014,18
16,2015,18
16,2016,17
16,2017,17
16,2018,17
16,2019,16
17,1990,588
17,1991,566
17,1992,524
17,1993,467
17,1994,443
17,1995,406
17,1996,364
17,1997,354
17,1998,354
17,1999,335
17,2000,310
17,2001,280
17,2002,258
17,2003,246
17,2004,237
17,2005,236
17,2006,236
17,2007,235
17,2008,224
17,2009,212
17,2010,198
17,2011,188
17,2012,179
17,2013,172
17,2014,162
17,2015,150
17,2016,142
17,2017,130
17,2018,119
17,2019,108
18,1990,353
18,1991,349
18,1992,338
18,1993,312
18,1994,284
18,1995,246
18,1996,218
18,1997,215
18,1998,203
18,1999,194
18,2000,191
18,2001,180
18,2002,170
18,2003,167
18,2004,161
18,2005,166
18,2006,169
18,2007,170
18,2008,165
18,2009,163
18,2010,164
18,2011,161
18,2012,165
18,2013,158
18,2014,151
18,2015,145
18,2016,140
18,2017,135
18,2018,131
18,2019,128
19,1990,79
19,1991,77
19,1992,74
19,1993,71
19,1994,68
19,1995,66
19,1996,66
19,1997,66
19,1998,67
19,1999,66
19,2000,66
19,2001,65
19,2002,64
19,2003,62
19,2004,61
19,2005,60
19,2006,59
19,2007,58
19,2008,57
19,2009,57
19,2010,56
19,2011,56
19,2012,54
19,2013,53
19,2014,51
19,2015,52
19,2016,52
19,2017,50
19,2018,49
19,2019,49
20,1990,7826
20,1991,7931
20,1992,7993
20,1993,8058
20,1994,8159
20,1995,8250
20,1996,8361
20,1997,8479
20,1998,8608
20,1999,8741
20,2000,8927
20,2001,9088
20,2002,9205
20,2003,9330
20,2004,9479
20,2005,9653
20,2006,9822
20,2007,10006
20,2008,10221
20,2009,10457
20,2010,10683
20,2011,10902
20,2012,11074
20,2013,11186
20,2014,11255
20,2015,11338
20,2016,11422
20,2017,11487
20,2018,11343
20,2019,11211
21,1990,4
21,1991,3
21,1992,3
21,1993,3
21,1994,3
21,1995,2
21,1996,2
21,1997,2
21,1998,2
21,1999,2
21,2000,2
21,2001,2
21,2002,1
21,2003,1
21,2004,1
21,2005,2
21,2006,2
21,2007,2
21,2008,1
21,2009,1
21,2010,1
21,2011,1
21,2012,1
21,2013,1
21,2014,1
21,2015,1
21,2016,1
21,2017,1
21,2018,1
21,2019,1
22,1990,958
22,1991,875
22,1992,805
22,1993,767
22,1994,741
22,1995,720
22,1996,701
22,1997,684
22,1998,664
22,1999,639
22,2000,615
22,2001,588
22,2002,559
22,2003,531
22,2004,501
22,2005,474
22,2006,452
22,2007,433
22,2008,414
22,2009,396
22,2010,377
22,2011,359
22,2012,341
22,2013,323
22,2014,305
22,2015,287
22,2016,268
22,2017,249
22,2018,230
22,2019,214
23,1990,5427
23,1991,5314
23,1992,5187
23,1993,5049
23,1994,4918
23,1995,4799
23,1996,4685
23,1997,4567
23,1998,4446
23,1999,4337
23,2000,4243
23,2001,4142
23,2002,4032
23,2003,3940
23,2004,3887
23,2005,3831
23,2006,3766
23,2007,3711
23,2008,3656
23,2009,3610
23,2010,3570
23,2011,3521
23,2012,3461
23,2013,3408
23,2014,3317
23,2015,3222
23,2016,3111
23,2017,3023
23,2018,2867
23,2019,2752
24,1990,603
24,1991,556
24,1992,523
24,1993,471
24,1994,417
24,1995,360
24,1996,317
24,1997,290
24,1998,260
24,1999,228
24,2000,215
24,2001,178
24,2002,187
24,2003,157
24,2004,141
24,2005,132
24,2006,129
24,2007,121
24,2008,118
24,2009,111
24,2010,106
24,2011,94
24,2012,86
24,2013,86
24,2014,78
24,2015,85
24,2016,84
24,2017,73
24,2018,67
24,2019,62
25,1990,755
25,1991,759
25,1992,767
25,1993,782
25,1994,795
25,1995,806
25,1996,816
25,1997,826
25,1998,842
25,1999,854
25,2000,867
25,2001,878
25,2002,888
25,2003,900
25,2004,904
25,2005,893
25,2006,913
25,2007,888
25,2008,882
25,2009,876
25,2010,874
25,2011,869
25,2012,851
25,2013,831
25,2014,813
25,2015,798
25,2016,780
25,2017,764
25,2018,751
25,2019,744
26,1990,69844
26,1991,66302
26,1992,63012
26,1993,60264
26,1994,57859
26,1995,55972
26,1996,54154
26,1997,52635
26,1998,51206
26,1999,49976
26,2000,48723
26,2001,47373
26,2002,45969
26,2003,44660
26,2004,43379
26,2005,42153
26,2006,40948
26,2007,39796
26,2008,38512
26,2009,37124
26,2010,35627
26,2011,34024
26,2012,32260
26,2013,30426
26,2014,28460
26,2015,26739
26,2016,25264
26,2017,23982
26,2018,22604
26,2019,21523
27,1990,21
27,1991,22
27,1992,21
27,1993,21
27,1994,20
27,1995,20
27,1996,19
27,1997,19
27,1998,18
27,1999,19
27,2000,20
27,2001,20
27,2002,20
27,2003,21
27,2004,20
27,2005,19
27,2006,18
27,2007,18
27,2008,18
27,2009,18
27,2010,18
27,2011,19
27,2012,20
27,2013,20
27,2014,20
27,2015,20
27,2016,20
27,2017,19
27,2018,19
27,2019,18
28,1990,473
28,1991,491
28,1992,455
28,1993,401
28,1994,392
28,1995,331
28,1996,333
28,1997,341
28,1998,319
28,1999,342
28,2000,314
28,2001,301
28,2002,287
28,2003,280
28,2004,282
28,2005,263
28,2006,258
28,2007,256
28,2008,263
28,2009,280
28,2010,269
28,2011,236
28,2012,214
28,2013,199
28,2014,197
28,2015,171
28,2016,161
28,2017,159
28,2018,149
28,2019,139
29,1990,14520
29,1991,14503
29,1992,14510
29,1993,14547
29,1994,14656
29,1995,14751
29,1996,15142
29,1997,15053
29,1998,14967
29,1999,14867
29,2000,14888
29,2001,14955
29,2002,14951
29,2003,15234
29,2004,15436
29,2005,15684
29,2006,15895
29,2007,16213
29,2008,16177
29,2009,16299
29,2010,16564
29,2011,16830
29,2012,17138
29,2013,17444
29,2014,17641
29,2015,17843
29,2016,18113
29,2017,18355
29,2018,18622
29,2019,18758
30,1990,7144
30,1991,6912
30,1992,6722
30,1993,6925
30,1994,6979
30,1995,6774
30,1996,6647
30,1997,6673
30,1998,6690
30,1999,6675
30,2000,6676
30,2001,6692
30,2002,6780
30,2003,6887
30,2004,7015
30,2005,7154
30,2006,7259
30,2007,7376
30,2008,7530
30,2009,7578
30,2010,7555
30,2011,7529
30,2012,7563
30,2013,7509
30,2014,7354
30,2015,7209
30,2016,7171
30,2017,7227
30,2018,7315
30,2019,7263
31,1990,12664
31,1991,12380
31,1992,12106
31,1993,11766
31,1994,11390
31,1995,10951
31,1996,10466
31,1997,9988
31,1998,9554
31,1999,9196
31,2000,8814
31,2001,8442
31,2002,8119
31,2003,7790
31,2004,7490
31,2005,7231
31,2006,7004
31,2007,6781
31,2008,6550
31,2009,6320
31,2010,6109
31,2011,5861
31,2012,5655
31,2013,5437
31,2014,5250
31,2015,5090
31,2016,4923
31,2017,4742
31,2018,4550
31,2019,4368
32,1990,10635
32,1991,10831
32,1992,11033
32,1993,11278
32,1994,11443
32,1995,11621
32,1996,11853
32,1997,12105
