country_id,Year,number_of_deaths
1,1990,389
1,1991,389
1,1992,393
1,1993,411
1,1994,413
1,1995,417
1,1996,423
1,1997,425
1,1998,429
1,1999,428
1,2000,431
1,2001,436
1,2002,437
1,2003,433
1,2004,440
1,2005,454
1,2006,454
1,2007,465
1,2008,478
1,2009,493
1,2010,515
1,2011,529
1,2012,547
1,2013,581
1,2014,592
1,2015,590
1,2016,609
1,2017,615
1,2018,642
1,2019,632
2,1990,44
2,1991,48
2,1992,45
2,1993,44
2,1994,42
2,1995,44
2,1996,45
2,1997,46
2,1998,47
2,1999,47
2,2000,47
2,2001,48
2,2002,50
2,2003,54
2,2004,56
2,2005,51
2,2006,50
2,2007,52
2,2008,57
2,2009,53
2,2010,57
2,2011,56
2,2012,59
2,2013,59
2,2014,60
2,2015,62
2,2016,63
2,2017,63
2,2018,64
2,2019,65
3,1990,742
3,1991,765
3,1992,786
3,1993,803
3,1994,824
3,1995,841
3,1996,856
3,1997,870
3,1998,882
3,1999,906
3,2000,922
3,2001,935
3,2002,958
3,2003,981
3,2004,990
3,2005,1004
3,2006,1021
3,2007,1033
3,2008,1052
3,2009,1072
3,2010,1089
3,2011,1110
3,2012,1139
3,2013,1164
3,2014,1205
3,2015,1226
3,2016,1261
3,2017,1295
3,2018,1365
3,2019,1372
4,1990,1
4,1991,1
4,1992,1
4,1993,1
4,1994,1
4,1995,1
4,1996,1
4,1997,1
4,1998,1
4,1999,1
4,2000,1
4,2001,1
4,2002,1
4,2003,1
4,2004,1
4,2005,1
4,2006,1
4,2007,1
4,2008,1
4,2009,1
4,2010,1
4,2011,1
4,2012,1
4,2013,1
4,2014,2
4,2015,2
4,2016,2
4,2017,2
4,2018,2
4,2019,2
5,1990,3
5,1991,3
5,1992,3
5,1993,4
5,1994,4
5,1995,4
5,1996,4
5,1997,5
5,1998,5
5,1999,5
5,2000,5
5,2001,6
5,2002,6
5,2003,6
5,2004,7
5,2005,7
5,2006,8
5,2007,8
5,2008,8
5,2009,9
5,2010,9
5,2011,9
5,2012,10
5,2013,10
5,2014,10
5,2015,11
5,2016,11
5,2017,12
5,2018,12
