country_id,Year,number_of_deaths
1,1990,2323
1,1991,2622
1,1992,3203
1,1993,3930
1,1994,4037
1,1995,4357
1,1996,4416
1,1997,4648
1,1998,4681
1,1999,4589
1,2000,4451
1,2001,4344
1,2002,4189
1,2003,4216
1,2004,4029
1,2005,3752
1,2006,3420
1,2007,3174
1,2008,2997
1,2009,2864
1,2010,2831
1,2011,2790
1,2012,2750
1,2013,2789
1,2014,2750
1,2015,2672
1,2016,2574
1,2017,2469
1,2018,2189
1,2019,2039
2,1990,173
2,1991,172
2,1992,165
2,1993,153
2,1994,144
2,1995,118
2,1996,101
2,1997,89
2,1998,77
2,1999,61
2,2000,47
2,2001,37
2,2002,30
2,2003,24
2,2004,19
2,2005,15
2,2006,13
2,2007,10
2,2008,9
2,2009,8
2,2010,7
2,2011,6
2,2012,6
2,2013,6
2,2014,5
2,2015,5
2,2016,4
2,2017,4
2,2018,4
2,2019,4
3,1990,1589
3,1991,1416
3,1992,1274
3,1993,1147
3,1994,1033
3,1995,929
3,1996,828
3,1997,765
3,1998,704
3,1999,652
3,2000,598
3,2001,542
3,2002,490
3,2003,452
3,2004,419
3,2005,387
3,2006,361
3,2007,333
3,2008,308
3,2009,284
3,2010,265
3,2011,250
3,2012,238
3,2013,230
3,2014,225
3,2015,217
3,2016,201
3,2017,184
3,2018,168
3,2019,157
4,1990,0
4,1991,0
4,1992,0
4,1993,0
4,1994,0
4,1995,0
4,1996,0
4,1997,0
4,1998,0
4,1999,0
4,2000,0
4,2001,0
4,2002,0
4,2003,0
4,2004,0
4,2005,0
4,2006,0
4,2007,0
4,2008,0
4,2009,0
4,2010,0
4,2011,0
4,2012,0
4,2013,0
4,2014,0
4,2015,0
4,2016,0
4,2017,0
4,2018,0
4,2019,0
5,1990,0
5,1991,0
5,1992,0
5,1993,0
5,1994,0
5,1995,0
5,1996,0
5,1997,0
5,1998,0
5,1999,0
5,2000,0
5,2001,0
5,2002,0
5,2003,0
5,2004,0
5,2005,0
5,2006,0
5,2007,0
5,2008,0
5,2009,0
5,2010,0
5,2011,0
5,2012,0
5,2013,0
5,2014,0
5,2015,0
5,2016,0
5,2017,0
5,2018,0
5,2019,0
6,1990,7453
6,1991,7542
6,1992,7575
6,1993,7684
6,1994,7907
6,1995,8041
6,1996,7968
6,1997,7909
6,1998,7817
6,1999,7627
6,2000,7418
6,2001,7038
6,2002,6610
6,2003,6160
6,2004,5891
6,2005,5470
6,2006,5615
6,2007,5021
6,2008,4638
6,2009,4319
6,2010,4066
6,2011,3853
6,2012,3607
6,2013,3331
6,2014,3001
6,2015,2732
6,2016,2444
6,2017,2254
6,2018,1962
6,2019,1811
7,1990,0
7,1991,0
7,1992,0
7,1993,0
7,1994,0
7,1995,0
7,1996,0
7,1997,0
7,1998,0
7,1999,0
7,2000,0
7,2001,0
7,2002,0
7,2003,0
7,2004,0
7,2005,0
7,2006,0
7,2007,0
7,2008,0
7,2009,0
7,2010,0
7,2011,0
7,2012,0
7,2013,0
7,2014,0
7,2015,0
7,2016,0
7,2017,0
7,2018,0
7,2019,0
8,1990,364
8,1991,339
8,1992,306
8,1993,280
8,1994,265
8,1995,266
8,1996,261
8,1997,249
8,1998,243
8,1999,219
8,2000,198
8,2001,185
8,2002,185
8,2003,178
8,2004,159
8,2005,141
8,2006,133
8,2007,135
8,2008,134
8,2009,131
8,2010,126
8,2011,121
8,2012,112
8,2013,110
8,2014,106
8,2015,96
8,2016,89
8,2017,83
8,2018,79
8,2019,77
9,1990,230
9,1991,210
9,1992,196
9,1993,176
9,1994,155
9,1995,134
9,1996,113
9,1997,96
9,1998,83
9,1999,72
9,2000,61
9,2001,52
9,2002,43
9,2003,37
9,2004,33
9,2005,30
9,2006,26
9,2007,24
9,2008,23
9,2009,21
9,2010,20
9,2011,19
9,2012,17
9,2013,15
9,2014,14
9,2015,13
9,2016,13
9,2017,11
9,2018,10
9,2019,9
10,1990,7
10,1991,6
10,1992,6
10,1993,6
10,1994,6
10,1995,5
10,1996,5
10,1997,5
10,1998,5
10,1999,5
10,2000,5
10,2001,5
10,2002,5
10,2003,6
10,2004,6
10,2005,6
10,2006,6
10,2007,6
10,2008,5
10,2009,5
10,2010,5
10,2011,5
10,2012,5
10,2013,5
10,2014,4
10,2015,5
10,2016,4
10,2017,4
10,2018,4
10,2019,4
11,1990,3
11,1991,3
11,1992,2
11,1993,2
11,1994,2
11,1995,1
11,1996,1
11,1997,1
11,1998,1
11,1999,1
11,2000,1
11,2001,1
11,2002,1
11,2003,1
11,2004,1
11,2005,1
11,2006,1
11,2007,1
11,2008,1
11,2009,1
11,2010,1
11,2011,1
11,2012,1
11,2013,1
11,2014,1
11,2015,1
11,2016,1
11,2017,1
11,2018,1
11,2019,1
12,1990,1601
12,1991,1530
12,1992,1458
12,1993,1380
12,1994,1294
12,1995,1205
12,1996,1112
12,1997,1035
12,1998,970
12,1999,891
12,2000,802
12,2001,698
12,2002,625
12,2003,575
12,2004,539
12,2005,498
12,2006,464
12,2007,426
12,2008,401
12,2009,378
12,2010,363
12,2011,345
12,2012,328
12,2013,310
12,2014,292
12,2015,274
12,2016,253
12,2017,232
12,2018,213
12,2019,196
13,1990,2
13,1991,2
13,1992,3
13,1993,3
13,1994,2
13,1995,2
13,1996,2
13,1997,2
13,1998,2
13,1999,2
13,2000,1
13,2001,1
13,2002,1
13,2003,1
13,2004,1
13,2005,1
13,2006,1
13,2007,1
13,2008,1
13,2009,1
13,2010,1
13,2011,1
13,2012,1
13,2013,1
13,2014,1
13,2015,1
13,2016,1
13,2017,1
13,2018,1
13,2019,1
14,1990,2
14,1991,2
14,1992,1
14,1993,1
14,1994,1
14,1995,1
14,1996,1
14,1997,1
14,1998,1
14,1999,1
14,2000,1
14,2001,1
14,2002,1
14,2003,1
14,2004,1
14,2005,1
14,2006,1
14,2007,1
14,2008,1
14,2009,1
14,2010,1
14,2011,1
14,2012,1
