country_id,Year,number_of_deaths
1,1990,9396
1,1991,9598
1,1992,9900
1,1993,10270
1,1994,10630
1,1995,10856
1,1996,11116
1,1997,11373
1,1998,11574
1,1999,11747
1,2000,11844
1,2001,11983
1,2002,11870
1,2003,11855
1,2004,11863
1,2005,11796
1,2006,11743
1,2007,11677
1,2008,11657
1,2009,11590
1,2010,11550
1,2011,11628
1,2012,11735
1,2013,11801
1,2014,11939
1,2015,12203
1,2016,12487
1,2017,12903
1,2018,13283
1,2019,13604
2,1990,1050
2,1991,1081
2,1992,1042
2,1993,999
2,1994,944
2,1995,988
2,1996,1033
2,1997,1065
2,1998,1093
2,1999,1122
2,2000,1149
2,2001,1144
2,2002,1236
2,2003,1359
2,2004,1405
2,2005,1415
2,2006,1375
2,2007,1350
2,2008,1409
2,2009,1426
2,2010,1462
2,2011,1515
2,2012,1552
2,2013,1598
2,2014,1663
2,2015,1732
2,2016,1777
2,2017,1820
2,2018,1861
2,2019,1899
3,1990,12019
3,1991,12328
3,1992,12630
3,1993,12929
3,1994,13252
3,1995,13486
3,1996,13675
3,1997,13823
3,1998,13901
3,1999,14175
3,2000,14258
3,2001,14329
3,2002,14378
3,2003,14384
3,2004,14453
3,2005,14529
3,2006,14676
3,2007,14846
3,2008,15016
3,2009,15248
3,2010,15507
3,2011,15925
3,2012,16338
3,2013,16744
3,2014,17305
3,2015,17907
3,2016,18407
3,2017,19032
3,2018,19785
3,2019,20469
4,1990,7
4,1991,8
4,1992,8
4,1993,8
4,1994,8
4,1995,9
4,1996,9
4,1997,9
4,1998,10
4,1999,10
4,2000,10
4,2001,11
4,2002,11
4,2003,11
4,2004,11
4,2005,12
4,2006,12
4,2007,12
4,2008,12
4,2009,13
4,2010,13
4,2011,13
4,2012,14
4,2013,14
4,2014,14
4,2015,15
4,2016,15
4,2017,15
4,2018,15
4,2019,16
5,1990,10
5,1991,10
5,1992,11
5,1993,11
5,1994,12
5,1995,12
5,1996,13
5,1997,14
5,1998,14
5,1999,14
5,2000,15
5,2001,15
5,2002,15
5,2003,16
5,2004,16
5,2005,17
5,2006,17
5,2007,17
5,2008,18
5,2009,18
5,2010,19
5,2011,18
5,2012,18
5,2013,19
5,2014,19
5,2015,19
5,2016,20
5,2017,20
5,2018,21
5,2019,21
6,1990,1323
6,1991,1366
6,1992,1414
6,1993,1476
6,1994,1531
6,1995,1564
6,1996,1568
6,1997,1596
6,1998,1658
6,1999,1712
6,2000,1748
6,2001,1757
6,2002,1755
6,2003,1791
6,2004,1848
6,2005,1829
6,2006,1847
6,2007,1831
6,2008,1847
6,2009,1863
6,2010,1883
6,2011,1917
6,2012,1953
6,2013,1974
6,2014,1969
6,2015,2037
6,2016,2115
6,2017,2220
6,2018,2339
6,2019,2462
7,1990,28
7,1991,28
7,1992,28
7,1993,30
7,1994,30
7,1995,30
7,1996,29
7,1997,28
7,1998,28
7,1999,28
7,2000,27
7,2001,27
7,2002,27
7,2003,27
7,2004,26
7,2005,26
7,2006,26
7,2007,30
7,2008,29
7,2009,27
7,2010,27
7,2011,27
7,2012,27
7,2013,27
7,2014,28
7,2015,28
7,2016,29
7,2017,29
7,2018,29
7,2019,30
8,1990,18688
8,1991,18141
8,1992,18020
8,1993,17536
8,1994,16850
8,1995,16790
8,1996,16692
8,1997,16636
8,1998,16777
8,1999,16807
8,2000,16031
8,2001,15889
8,2002,16009
8,2003,16010
8,2004,15480
8,2005,15151
8,2006,15139
8,2007,15532
8,2008,15056
8,2009,15092
8,2010,15356
8,2011,15456
8,2012,15423
8,2013,15439
8,2014,15326
8,2015,15623
8,2016,16355
8,2017,16668
8,2018,16507
8,2019,16721
9,1990,2850
9,1991,3050
9,1992,3413
9,1993,3572
9,1994,3397
9,1995,3378
9,1996,3394
9,1997,3255
9,1998,3219
9,1999,3222
9,2000,3182
9,2001,3238
9,2002,3274
9,2003,3352
9,2004,3343
9,2005,3389
9,2006,3426
9,2007,3365
9,2008,3381
9,2009,3353
9,2010,3371
9,2011,3387
9,2012,3380
9,2013,3317
9,2014,3326
9,2015,3413
9,2016,3412
9,2017,3452
9,2018,3475
9,2019,3477
10,1990,6571
10,1991,6497
10,1992,6567
10,1993,6533
10,1994,6637
10,1995,6589
10,1996,6623
10,1997,6549
10,1998,6448
10,1999,6332
10,2000,6244
10,2001,6167
10,2002,6137
10,2003,6010
10,2004,5822
10,2005,5666
10,2006,5601
10,2007,5636
10,2008,5623
10,2009,5482
10,2010,5387
10,2011,5363
10,2012,5240
10,2013,5182
10,2014,5260
10,2015,5365
10,2016,5361
10,2017,5532
10,2018,5771
10,2019,5940
11,1990,4258
11,1991,4311
11,1992,4327
11,1993,4321
11,1994,4277
11,1995,4310
11,1996,4326
11,1997,4262
11,1998,4236
11,1999,4190
11,2000,4092
11,2001,3938
11,2002,3892
11,2003,3814
11,2004,3672
11,2005,3638
11,2006,3530
11,2007,3487
11,2008,3423
11,2009,3428
11,2010,3396
11,2011,3383
11,2012,3398
11,2013,3384
11,2014,3373
11,2015,3432
11,2016,3401
11,2017,3367
11,2018,3417
11,2019,3489
12,1990,5118
12,1991,5517
12,1992,6051
12,1993,6548
12,1994,6956
12,1995,6941
12,1996,6921
12,1997,6868
12,1998,6944
12,1999,7087
12,2000,7190
12,2001,7254
12,2002,7397
12,2003,7575
12,2004,7567
12,2005,7776
12,2006,7815
12,2007,7657
12,2008,7798
12,2009,7907
12,2010,8026
12,2011,8227
12,2012,8371
12,2013,8507
12,2014,8697
12,2015,8784
12,2016,8999
12,2017,9209
12,2018,9048
12,2019,9116
13,1990,68
13,1991,68
13,1992,69
13,1993,70
13,1994,72
13,1995,73
13,1996,76
13,1997,75
13,1998,75
13,1999,79
13,2000,75
13,2001,76
13,2002,75
13,2003,73
13,2004,72
13,2005,70
13,2006,71
13,2007,70
13,2008,72
13,2009,76
13,2010,78
13,2011,80
13,2012,81
13,2013,83
13,2014,85
13,2015,90
13,2016,93
13,2017,95
13,2018,100
13,2019,103
14,1990,170
14,1991,175
14,1992,176
14,1993,175
14,1994,176
14,1995,180
14,1996,183
14,1997,185
14,1998,186
14,1999,188
14,2000,175
14,2001,163
14,2002,177
14,2003,191
14,2004,193
14,2005,192
14,2006,190
14,2007,188
14,2008,190
14,2009,194
14,2010,198
14,2011,203
14,2012,207
14,2013,208
14,2014,213
14,2015,225
14,2016,239
14,2017,258
14,2018,277
14,2019,299
15,1990,12004
15,1991,11008
15,1992,11104
15,1993,11092
15,1994,11144
15,1995,11552
15,1996,11597
15,1997,11681
15,1998,11990
15,1999,12461
15,2000,13306
15,2001,13886
15,2002,14871
15,2003,16022
15,2004,17013
15,2005,18348
15,2006,19776
15,2007,20694
15,2008,21271
15,2009,22097
15,2010,23044
15,2011,22685
15,2012,22830
15,2013,23647
15,2014,25014
15,2015,26068
15,2016,27075
15,2017,29207
15,2018,30486
15,2019,31653
16,1990,92
16,1991,91
16,1992,93
16,1993,94
16,1994,95
16,1995,94
16,1996,93
16,1997,92
16,1998,88
16,1999,85
16,2000,84
16,2001,81
16,2002,83
16,2003,85
16,2004,85
16,2005,81
16,2006,82
16,2007,81
16,2008,81
16,2009,78
16,2010,79
16,2011,80
16,2012,80
16,2013,83
16,2014,85
16,2015,87
16,2016,90
16,2017,92
16,2018,95
16,2019,101
17,1990,14750
17,1991,15377
17,1992,15944
17,1993,17621
17,1994,18039
17,1995,18753
17,1996,18669
17,1997,19066
17,1998,19512
17,1999,20255
17,2000,19404
17,2001,20488
17,2002,21626
17,2003,21124
17,2004,20712
17,2005,21088
17,2006,20408
17,2007,19317
17,2008,19154
17,2009,19189
17,2010,19269
17,2011,19578
17,2012,17691
17,2013,17590
17,2014,17409
17,2015,17040
17,2016,17086
17,2017,17171
17,2018,16861
17,2019,16900
18,1990,5418
18,1991,5204
18,1992,5073
18,1993,4977
18,1994,4835
18,1995,4761
18,1996,4695
18,1997,4558
18,1998,4501
18,1999,4413
18,2000,4316
18,2001,4211
18,2002,4193
18,2003,4134
18,2004,3972
18,2005,3907
18,2006,3792
18,2007,3770
18,2008,3767
18,2009,3716
18,2010,3657
