country_id,Year,number_of_deaths
1,1990,4794
1,1991,4921
1,1992,5279
1,1993,5734
1,1994,6050
1,1995,6167
1,1996,6298
1,1997,6425
1,1998,6402
1,1999,6323
1,2000,6227
1,2001,6214
1,2002,6103
1,2003,6341
1,2004,6383
1,2005,6272
1,2006,6153
1,2007,6010
1,2008,5868
1,2009,5752
1,2010,5714
1,2011,5686
1,2012,5676
1,2013,5739
1,2014,5758
1,2015,5785
1,2016,5871
1,2017,5950
1,2018,5987
1,2019,6062
2,1990,902
2,1991,926
2,1992,892
2,1993,849
2,1994,790
2,1995,773
2,1996,757
2,1997,739
2,1998,721
2,1999,700
2,2000,673
2,2001,634
2,2002,644
2,2003,669
2,2004,660
2,2005,642
2,2006,608
2,2007,583
2,2008,593
2,2009,590
2,2010,598
2,2011,618
2,2012,634
2,2013,653
2,2014,679
2,2015,706
2,2016,723
2,2017,740
2,2018,757
2,2019,774
3,1990,5060
3,1991,5088
3,1992,5114
3,1993,5146
3,1994,5187
3,1995,5195
3,1996,5192
3,1997,5196
3,1998,5171
3,1999,5235
3,2000,5248
3,2001,5269
3,2002,5296
3,2003,5317
3,2004,5372
3,2005,5429
3,2006,5507
3,2007,5606
3,2008,5712
3,2009,5840
3,2010,5964
3,2011,6133
3,2012,6301
3,2013,6472
3,2014,6686
3,2015,6895
3,2016,7032
3,2017,7217
3,2018,7462
3,2019,7670
4,1990,8
4,1991,9
4,1992,9
4,1993,9
4,1994,10
4,1995,10
4,1996,11
4,1997,11
4,1998,11
4,1999,11
4,2000,12
4,2001,12
4,2002,12
4,2003,13
4,2004,13
4,2005,13
4,2006,13
4,2007,13
4,2008,13
4,2009,13
4,2010,13
4,2011,13
4,2012,14
4,2013,14
4,2014,14
4,2015,14
4,2016,14
4,2017,15
4,2018,15
4,2019,15
5,1990,5
5,1991,5
5,1992,5
5,1993,6
5,1994,6
5,1995,6
5,1996,6
5,1997,6
5,1998,6
5,1999,6
5,2000,6
5,2001,6
5,2002,6
5,2003,6
5,2004,7
5,2005,7
5,2006,7
5,2007,7
5,2008,7
5,2009,7
5,2010,7
5,2011,7
5,2012,7
5,2013,7
5,2014,7
5,2015,7
5,2016,7
5,2017,7
5,2018,7
5,2019,8
6,1990,1549
6,1991,1564
6,1992,1587
6,1993,1626
6,1994,1659
6,1995,1676
6,1996,1670
6,1997,1678
6,1998,1714
6,1999,1737
6,2000,1747
6,2001,1746
6,2002,1745
6,2003,1760
6,2004,1828
6,2005,1817
6,2006,1818
6,2007,1820
6,2008,1823
6,2009,1793
6,2010,1783
6,2011,1749
6,2012,1728
6,2013,1691
6,2014,1642
6,2015,1631
6,2016,1607
6,2017,1599
6,2018,1608
6,2019,1634
7,1990,6
7,1991,6
7,1992,6
7,1993,7
7,1994,7
7,1995,7
7,1996,7
7,1997,6
7,1998,6
7,1999,6
7,2000,6
7,2001,6
7,2002,6
7,2003,6
7,2004,6
7,2005,6
7,2006,6
7,2007,7
7,2008,7
7,2009,7
7,2010,7
7,2011,7
7,2012,7
7,2013,7
7,2014,7
7,2015,7
7,2016,7
7,2017,8
7,2018,8
7,2019,8
8,1990,7223
8,1991,7223
8,1992,7347
8,1993,7342
8,1994,7256
8,1995,7405
8,1996,7521
8,1997,7651
8,1998,7847
8,1999,7977
8,2000,7774
8,2001,7827
8,2002,7949
8,2003,8030
8,2004,7827
8,2005,7670
8,2006,7653
8,2007,7848
8,2008,7626
8,2009,7648
8,2010,7793
8,2011,7876
8,2012,7887
8,2013,7966
8,2014,7993
8,2015,8189
8,2016,8568
8,2017,8618
8,2018,8509
8,2019,8578
9,1990,1065
9,1991,1082
9,1992,1164
9,1993,1189
9,1994,1120
9,1995,1112
9,1996,1119
9,1997,1077
9,1998,1069
9,1999,1071
9,2000,1061
9,2001,1076
9,2002,1080
9,2003,1095
9,2004,1076
9,2005,1082
9,2006,1088
9,2007,1063
9,2008,1061
9,2009,1040
9,2010,1029
9,2011,1021
9,2012,1008
9,2013,981
9,2014,978
9,2015,1004
9,2016,997
9,2017,1004
9,2018,1006
9,2019,1006
10,1990,2068
10,1991,2007
10,1992,1991
10,1993,1943
10,1994,1937
10,1995,1891
10,1996,1873
10,1997,1828
10,1998,1766
10,1999,1711
10,2000,1679
10,2001,1655
10,2002,1649
10,2003,1622
10,2004,1581
10,2005,1540
10,2006,1519
10,2007,1528
10,2008,1523
10,2009,1494
10,2010,1474
10,2011,1470
10,2012,1443
10,2013,1433
10,2014,1454
10,2015,1473
10,2016,1464
10,2017,1491
10,2018,1544
10,2019,1582
11,1990,1202
11,1991,1216
11,1992,1221
11,1993,1223
11,1994,1215
11,1995,1231
11,1996,1245
11,1997,1242
11,1998,1249
11,1999,1250
11,2000,1239
11,2001,1211
11,2002,1215
11,2003,1222
11,2004,1204
11,2005,1203
11,2006,1183
11,2007,1186
11,2008,1180
11,2009,1200
11,2010,1194
11,2011,1188
11,2012,1189
11,2013,1187
11,2014,1183
11,2015,1203
11,2016,1190
11,2017,1181
11,2018,1185
11,2019,1206
12,1990,3132
12,1991,3175
12,1992,3256
12,1993,3300
12,1994,3312
12,1995,3198
12,1996,3087
12,1997,2976
12,1998,2913
12,1999,2859
12,2000,2783
12,2001,2710
12,2002,2717
12,2003,2774
12,2004,2795
12,2005,2859
12,2006,2880
12,2007,2877
12,2008,2938
12,2009,2987
12,2010,3021
12,2011,3042
12,2012,3055
12,2013,3057
12,2014,3084
12,2015,3086
12,2016,3125
12,2017,3166
12,2018,3118
12,2019,3138
13,1990,20
13,1991,21
13,1992,21
13,1993,22
13,1994,22
13,1995,23
13,1996,24
13,1997,23
13,1998,24
13,1999,25
13,2000,24
13,2001,25
13,2002,24
13,2003,24
13,2004,25
13,2005,24
13,2006,25
13,2007,24
13,2008,25
13,2009,26
13,2010,27
13,2011,27
13,2012,27
13,2013,27
13,2014,28
13,2015,29
13,2016,30
13,2017,31
13,2018,32
13,2019,33
14,1990,64
14,1991,66
14,1992,66
14,1993,66
14,1994,66
14,1995,68
14,1996,70
14,1997,70
14,1998,71
14,1999,73
14,2000,68
14,2001,64
14,2002,73
14,2003,81
14,2004,84
14,2005,86
14,2006,88
14,2007,89
14,2008,90
14,2009,92
14,2010,95
14,2011,97
14,2012,100
14,2013,102
14,2014,106
14,2015,112
14,2016,119
14,2017,128
14,2018,137
14,2019,148
15,1990,21848
15,1991,20778
15,1992,20584
15,1993,20199
15,1994,19885
15,1995,19902
15,1996,19390
15,1997,18755
15,1998,18274
15,1999,18018
15,2000,18150
15,2001,18043
15,2002,18271
15,2003,18441
15,2004,18453
15,2005,18801
15,2006,19201
15,2007,19447
15,2008,19487
15,2009,19790
15,2010,20245
15,2011,19487
15,2012,19009
15,2013,19355
15,2014,20252
15,2015,20612
15,2016,21349
15,2017,22848
15,2018,23727
15,2019,24664
16,1990,27
16,1991,27
16,1992,28
16,1993,28
16,1994,28
16,1995,28
16,1996,28
16,1997,28
16,1998,28
16,1999,27
16,2000,27
16,2001,26
16,2002,27
16,2003,28
16,2004,28
16,2005,27
16,2006,27
16,2007,26
16,2008,26
16,2009,25
16,2010,24
16,2011,24
16,2012,24
16,2013,24
16,2014,25
16,2015,26
16,2016,26
16,2017,27
16,2018,28
16,2019,29
17,1990,2464
17,1991,2531
17,1992,2598
17,1993,2822
17,1994,2842
17,1995,2929
17,1996,2885
17,1997,2916
17,1998,2939
17,1999,3015
17,2000,2850
17,2001,2956
17,2002,3073
17,2003,2944
17,2004,2869
17,2005,2890
17,2006,2781
17,2007,2648
17,2008,2628
17,2009,2664
17,2010,2681
17,2011,2741
17,2012,2473
17,2013,2466
17,2014,2448
17,2015,2396
17,2016,2400
17,2017,2413
17,2018,2401
17,2019,2435
18,1990,1900
18,1991,1855
18,1992,1829
18,1993,1819
18,1994,1788
18,1995,1780
18,1996,1763
18,1997,1742
18,1998,1735
18,1999,1721
18,2000,1693
18,2001,1648
18,2002,1629
18,2003,1591
18,2004,1519
18,2005,1489
18,2006,1438
18,2007,1422
18,2008,1412
18,2009,1399
18,2010,1376
18,2011,1363
18,2012,1364
18,2013,1345
18,2014,1305
18,2015,1318
18,2016,1301
18,2017,1319
18,2018,1337
18,2019,1360
19,1990,11
19,1991,11
19,1992,11
19,1993,11
19,1994,12
19,1995,13
19,1996,14
19,1997,15
19,1998,16
19,1999,17
19,2000,18
19,2001,17
19,2002,17
19,2003,17
19,2004,18
19,2005,18
19,2006,19
19,2007,19
19,2008,19
19,2009,20
19,2010,20
19,2011,21
19,2012,21
19,2013,22
19,2014,23
19,2015,24
19,2016,25
19,2017,26
19,2018,27
19,2019,28
20,1990,512
20,1991,515
20,1992,517
20,1993,518
20,1994,522
20,1995,525
20,1996,530
20,1997,532
20,1998,536
20,1999,540
20,2000,547
20,2001,544
20,2002,557
20,2003,555
20,2004,562
20,2005,558
20,2006,558
20,2007,553
20,2008,556
20,2009,565
20,2010,578
20,2011,589
20,2012,606
20,2013,616
20,2014,622
20,2015,642
20,2016,654
20,2017,663
20,2018,653
20,2019,656
21,1990,9
21,1991,9
21,1992,8
21,1993,8
21,1994,8
21,1995,8
21,1996,8
21,1997,7
21,1998,7
21,1999,7
21,2000,7
21,2001,7
21,2002,7
21,2003,6
21,2004,6
21,2005,6
21,2006,6
21,2007,6
21,2008,6
21,2009,6
21,2010,6
21,2011,6
21,2012,6
21,2013,7
21,2014,7
21,2015,7
21,2016,7
21,2017,7
21,2018,8
21,2019,8
22,1990,60
22,1991,60
22,1992,58
22,1993,57
22,1994,57
22,1995,57
22,1996,57
22,1997,57
22,1998,57
22,1999,55
22,2000,56
22,2001,56
22,2002,55
22,2003,55
22,2004,55
22,2005,54
22,2006,53
22,2007,55
22,2008,55
22,2009,55
22,2010,56
22,2011,57
22,2012,58
22,2013,59
22,2014,60
22,2015,61
22,2016,63
22,2017,64
22,2018,66
22,2019,68
23,1990,608
23,1991,590
23,1992,574
23,1993,559
23,1994,543
23,1995,531
23,1996,517
23,1997,508
23,1998,496
23,1999,486
23,2000,477
23,2001,468
23,2002,461
23,2003,454
23,2004,449
23,2005,448
23,2006,448
23,2007,451
23,2008,455
23,2009,459
23,2010,466
23,2011,477
23,2012,488
23,2013,500
23,2014,509
23,2015,520
23,2016,536
23,2017,550
23,2018,565
23,2019,580
24,1990,870
24,1991,966
24,1992,982
24,1993,1004
24,1994,1018
24,1995,1025
24,1996,1018
24,1997,1020
24,1998,970
24,1999,975
24,2000,1004
24,2001,1060
24,2002,1102
24,2003,1116
24,2004,1125
24,2005,1171
24,2006,1173
24,2007,1254
24,2008,1214
24,2009,1242
24,2010,1252
24,2011,1265
24,2012,1253
24,2013,1264
24,2014,1274
24,2015,1307
24,2016,1280
24,2017,1276
24,2018,1293
24,2019,1310
25,1990,217
25,1991,226
25,1992,238
25,1993,250
25,1994,265
25,1995,280
25,1996,293
25,1997,304
25,1998,322
25,1999,337
25,2000,354
25,2001,368
25,2002,377
25,2003,376
25,2004,368
25,2005,357
25,2006,355
25,2007,350
25,2008,358
25,2009,363
25,2010,373
25,2011,380
25,2012,384
25,2013,389
25,2014,396
25,2015,401
25,2016,403
25,2017,411
25,2018,419
25,2019,427
26,1990,27352
26,1991,26327
26,1992,26003
26,1993,26312
26,1994,25881
26,1995,25451
26,1996,25166
26,1997,24440
26,1998,24256
26,1999,23877
26,2000,23476
26,2001,23227
26,2002,23119
26,2003,23098
26,2004,23132
26,2005,22690
26,2006,22922
26,2007,23132
26,2008,23423
26,2009,23842
26,2010,24182
26,2011,24474
26,2012,24352
26,2013,24505
26,2014,24575
26,2015,25046
26,2016,25998
26,2017,26105
26,2018,26783
26,2019,27788
27,1990,25
27,1991,24
27,1992,24
27,1993,24
27,1994,23
27,1995,23
27,1996,22
27,1997,23
27,1998,23
27,1999,23
27,2000,23
27,2001,23
27,2002,23
27,2003,24
27,2004,24
27,2005,25
27,2006,25
27,2007,25
27,2008,25
27,2009,25
27,2010,26
27,2011,27
27,2012,28
27,2013,29
27,2014,29
27,2015,30
27,2016,31
27,2017,32
27,2018,33
27,2019,34
28,1990,4263
28,1991,4256
28,1992,4359
28,1993,4479
28,1994,4642
28,1995,4711
28,1996,4789
28,1997,4940
28,1998,4743
28,1999,4543
28,2000,4481
28,2001,4340
28,2002,4216
28,2003,4090
28,2004,3986
28,2005,3951
28,2006,3909
28,2007,3773
28,2008,3641
28,2009,3540
28,2010,3466
28,2011,3367
28,2012,3210
28,2013,3065
28,2014,3087
28,2015,3015
28,2016,2974
28,2017,2950
28,2018,3001
28,2019,3023
29,1990,1182
29,1991,1175
29,1992,1178
29,1993,1184
29,1994,1191
29,1995,1198
29,1996,1197
29,1997,1199
29,1998,1199
29,1999,1210
29,2000,1245
29,2001,1228
29,2002,1232
29,2003,1202
29,2004,1187
29,2005,1185
29,2006,1185
29,2007,1171
29,2008,1182
29,2009,1191
29,2010,1222
29,2011,1252
29,2012,1302
29,2013,1356
29,2014,1402
29,2015,1469
29,2016,1524
29,2017,1576
29,2018,1627
29,2019,1660
30,1990,462
30,1991,451
30,1992,435
30,1993,430
30,1994,421
30,1995,412
30,1996,397
30,1997,380
30,1998,365
30,1999,350
30,2000,338
30,2001,323
30,2002,321
30,2003,318
30,2004,318
30,2005,320
30,2006,317
30,2007,315
30,2008,312
30,2009,312
30,2010,321
30,2011,325
30,2012,334
30,2013,343
30,2014,349
30,2015,350
30,2016,348
30,2017,353
30,2018,369
30,2019,378
31,1990,3964
31,1991,3964
31,1992,3966
31,1993,3964
31,1994,3958
31,1995,3932
31,1996,3876
31,1997,3809
31,1998,3744
31,1999,3669
31,2000,3560
31,2001,3472
31,2002,3406
31,2003,3305
31,2004,3211
31,2005,3127
31,2006,3049
31,2007,3009
31,2008,2985
31,2009,2974
31,2010,3002
31,2011,3021
31,2012,3067
31,2013,3102
31,2014,3160
31,2015,3201
31,2016,3248
31,2017,3288
31,2018,3336
31,2019,3374
32,1990,880
32,1991,904
32,1992,936
32,1993,973
32,1994,1001
32,1995,1029
32,1996,1059
32,1997,1092
32,1998,1124
32,1999,1155
32,2000,1193
32,2001,1206
32,2002,1267
32,2003,1270
32,2004,1262
32,2005,1266
32,2006,1278
32,2007,1275
32,2008,1289
32,2009,1316
32,2010,1346
32,2011,1355
32,2012,1356
32,2013,1361
32,2014,1357
32,2015,1337
32,2016,1348
32,2017,1341
32,2018,1350
32,2019,1362
33,1990,3846
33,1991,3828
33,1992,3816
33,1993,3849
33,1994,3825
33,1995,3819
33,1996,3758
33,1997,3685
33,1998,3600
33,1999,3486
33,2000,3339
33,2001,3241
33,2002,3170
33,2003,3097
33,2004,3014
33,2005,2963
33,2006,2907
33,2007,2901
33,2008,2879
33,2009,2840
33,2010,2796
33,2011,2772
33,2012,2797
33,2013,2818
33,2014,2869
33,2015,2897
33,2016,2949
33,2017,3000
33,2018,3149
33,2019,3243
34,1990,25
34,1991,25
34,1992,25
34,1993,26
34,1994,26
34,1995,27
34,1996,28
34,1997,29
34,1998,29
34,1999,29
34,2000,28
34,2001,28
34,2002,28
34,2003,28
34,2004,28
34,2005,28
34,2006,27
34,2007,27
34,2008,27
34,2009,28
34,2010,28
34,2011,29
34,2012,30
34,2013,31
34,2014,32
34,2015,34
34,2016,36
34,2017,37
34,2018,43
34,2019,43
35,1990,325
35,1991,329
35,1992,332
35,1993,340
35,1994,345
35,1995,349
35,1996,356
35,1997,357
35,1998,359
35,1999,362
35,2000,358
35,2001,355
35,2002,352
35,2003,347
35,2004,344
35,2005,345
35,2006,352
35,2007,356
35,2008,357
35,2009,363
35,2010,370
35,2011,372
35,2012,371
35,2013,376
35,2014,377
35,2015,377
35,2016,379
35,2017,384
35,2018,387
35,2019,392
36,1990,789
36,1991,793
36,1992,810
36,1993,833
36,1994,854
36,1995,877
36,1996,913
36,1997,947
36,1998,981
36,1999,1013
36,2000,1048
36,2001,1072
36,2002,1095
36,2003,1108
36,2004,1103
36,2005,1093
36,2006,1116
36,2007,1145
36,2008,1160
36,2009,1176
36,2010,1189
36,2011,1197
36,2012,1207
36,2013,1230
36,2014,1237
36,2015,1258
36,2016,1264
36,2017,1274
36,2018,1287
36,2019,1301
37,1990,2250
37,1991,2161
37,1992,2116
37,1993,2127
37,1994,2115
37,1995,2145
37,1996,2140
37,1997,2056
37,1998,2026
37,1999,2000
37,2000,1900
37,2001,1906
37,2002,1869
37,2003,1889
37,2004,1900
37,2005,1874
37,2006,1859
37,2007,1879
37,2008,1850
37,2009,1920
37,2010,1980
37,2011,1976
37,2012,1993
37,2013,2023
37,2014,2032
37,2015,2062
37,2016,2063
37,2017,2152
37,2018,2233
37,2019,2325
38,1990,403207
38,1991,407169
38,1992,409170
38,1993,409128
38,1994,405017
38,1995,399339
38,1996,395095
38,1997,387024
38,1998,379815
38,1999,378736
38,2000,381879
38,2001,380706
38,2002,382326
38,2003,384056
38,2004,388502
38,2005,384925
38,2006,372632
38,2007,367122
38,2008,369387
38,2009,375065
38,2010,381547
38,2011,383243
38,2012,379388
38,2013,378857
38,2014,379995
38,2015,381555
38,2016,388950
38,2017,395166
38,2018,403593
38,2019,416054
39,1990,2286
39,1991,2393
39,1992,2433
39,1993,2454
39,1994,2483
39,1995,2500
39,1996,2574
39,1997,2492
39,1998,2479
39,1999,2569
39,2000,2597
39,2001,2647
39,2002,2935
39,2003,2826
39,2004,2842
39,2005,2771
39,2006,2833
39,2007,2764
39,2008,2779
39,2009,2859
39,2010,2854
39,2011,2788
39,2012,2831
39,2013,2871
39,2014,2909
39,2015,3042
39,2016,3158
39,2017,3270
39,2018,3417
39,2019,3556
40,1990,67
40,1991,68
40,1992,71
40,1993,71
40,1994,73
40,1995,73
40,1996,74
40,1997,73
40,1998,71
40,1999,70
40,2000,70
40,2001,69
40,2002,68
40,2003,67
40,2004,65
40,2005,66
40,2006,64
40,2007,67
40,2008,68
40,2009,66
40,2010,65
40,2011,66
40,2012,67
40,2013,67
40,2014,72
40,2015,72
40,2016,73
40,2017,73
40,2018,73
40,2019,74
41,1990,200
41,1991,197
41,1992,196
41,1993,198
41,1994,206
41,1995,210
41,1996,215
41,1997,220
41,1998,215
41,1999,215
41,2000,211
41,2001,205
41,2002,202
41,2003,206
41,2004,209
41,2005,213
41,2006,218
41,2007,227
41,2008,237
41,2009,244
41,2010,248
41,2011,251
41,2012,257
41,2013,262
41,2014,268
41,2015,272
41,2016,275
41,2017,280
41,2018,288
41,2019,297
42,1990,6
42,1991,6
42,1992,6
42,1993,6
42,1994,6
42,1995,6
42,1996,6
42,1997,6
42,1998,6
42,1999,6
42,2000,6
42,2001,6
42,2002,6
42,2003,6
42,2004,6
42,2005,6
42,2006,6
42,2007,6
42,2008,6
42,2009,6
42,2010,6
42,2011,7
42,2012,7
42,2013,7
42,2014,7
42,2015,7
42,2016,7
42,2017,7
42,2018,8
42,2019,8
43,1990,214
43,1991,219
43,1992,223
43,1993,224
43,1994,237
43,1995,249
43,1996,240
43,1997,243
43,1998,245
43,1999,249
43,2000,240
43,2001,242
43,2002,229
43,2003,231
43,2004,231
43,2005,213
43,2006,223
43,2007,200
43,2008,207
43,2009,206
43,2010,238
43,2011,232
43,2012,238
43,2013,248
43,2014,257
43,2015,274
43,2016,295
43,2017,303
43,2018,314
43,2019,322
44,1990,1620
44,1991,1713
44,1992,1821
44,1993,1943
44,1994,2068
44,1995,2181
44,1996,2258
44,1997,2329
44,1998,2406
44,1999,2464
44,2000,2526
44,2001,2553
44,2002,2570
44,2003,2571
44,2004,2579
44,2005,2569
44,2006,2593
44,2007,2560
44,2008,2531
44,2009,2521
44,2010,2512
44,2011,2481
44,2012,2495
44,2013,2533
44,2014,2513
44,2015,2507
44,2016,2406
44,2017,2352
44,2018,2368
44,2019,2352
45,1990,2040
45,1991,1922
45,1992,1843
45,1993,1779
45,1994,1719
45,1995,1709
45,1996,1721
45,1997,1742
45,1998,1705
45,1999,1673
45,2000,1615
45,2001,1597
45,2002,1624
45,2003,1673
45,2004,1630
45,2005,1668
45,2006,1640
45,2007,1680
45,2008,1704
45,2009,1649
45,2010,1629
45,2011,1596
45,2012,1570
45,2013,1502
45,2014,1506
45,2015,1562
45,2016,1462
45,2017,1472
45,2018,1478
45,2019,1500
46,1990,2041
46,1991,2043
46,1992,2107
46,1993,2164
46,1994,2178
46,1995,2174
46,1996,2178
46,1997,2165
46,1998,2179
46,1999,2186
46,2000,2144
46,2001,2159
46,2002,2021
46,2003,2043
46,2004,2049
46,2005,2060
46,2006,1929
46,2007,1911
46,2008,1920
46,2009,1912
46,2010,1920
46,2011,1817
46,2012,1864
46,2013,1895
46,2014,1944
46,2015,2037
46,2016,2057
46,2017,2162
46,2018,2207
46,2019,2177
47,1990,138
47,1991,142
47,1992,146
47,1993,149
47,1994,149
47,1995,150
47,1996,149
47,1997,150
47,1998,153
47,1999,155
47,2000,152
47,2001,149
47,2002,149
47,2003,150
47,2004,152
47,2005,155
47,2006,158
47,2007,159
47,2008,155
47,2009,152
47,2010,150
47,2011,146
47,2012,144
47,2013,144
47,2014,146
47,2015,148
47,2016,148
47,2017,150
47,2018,155
47,2019,160
48,1990,3427
48,1991,3246
48,1992,3144
48,1993,2989
48,1994,2927
48,1995,2917
48,1996,2768
48,1997,2710
48,1998,2544
48,1999,2473
48,2000,2444
48,2001,2410
48,2002,2370
48,2003,2417
48,2004,2332
48,2005,2325
48,2006,2258
48,2007,2269
48,2008,2293
48,2009,2299
48,2010,2309
48,2011,2321
48,2012,2313
48,2013,2312
48,2014,2264
48,2015,2307
48,2016,2304
48,2017,2330
48,2018,2377
48,2019,2390
49,1990,2058
49,1991,2106
49,1992,2141
49,1993,2167
49,1994,2206
49,1995,2250
49,1996,2307
49,1997,2281
49,1998,2290
49,1999,2296
49,2000,2319
49,2001,2331
49,2002,2306
49,2003,2320
49,2004,2281
49,2005,2247
49,2006,2242
49,2007,2228
49,2008,2229
49,2009,2216
49,2010,2200
49,2011,2192
49,2012,2193
49,2013,2178
49,2014,2163
49,2015,2137
49,2016,2118
49,2017,2116
49,2018,2160
49,2019,2185
50,1990,1418
50,1991,1392
50,1992,1386
50,1993,1378
50,1994,1353
50,1995,1323
50,1996,1270
50,1997,1209
50,1998,1147
50,1999,1126
50,2000,1065
50,2001,1047
50,2002,1022
50,2003,976
50,2004,924
50,2005,875
50,2006,853
50,2007,828
50,2008,796
50,2009,778
50,2010,753
50,2011,726
50,2012,709
50,2013,699
50,2014,684
50,2015,679
50,2016,688
50,2017,697
50,2018,707
50,2019,718
51,1990,55
51,1991,57
51,1992,60
51,1993,63
51,1994,65
51,1995,68
51,1996,69
51,1997,71
51,1998,74
51,1999,76
51,2000,78
51,2001,80
51,2002,83
51,2003,87
51,2004,94
51,2005,96
51,2006,98
51,2007,100
51,2008,102
51,2009,102
51,2010,105
51,2011,106
51,2012,106
51,2013,107
51,2014,106
51,2015,107
51,2016,108
51,2017,110
51,2018,113
51,2019,116
52,1990,8
52,1991,8
52,1992,8
52,1993,8
52,1994,8
52,1995,8
52,1996,8
52,1997,8
52,1998,8
52,1999,8
52,2000,8
52,2001,8
52,2002,8
52,2003,8
52,2004,8
52,2005,8
52,2006,8
52,2007,7
52,2008,7
52,2009,7
52,2010,7
52,2011,7
52,2012,7
52,2013,7
52,2014,8
52,2015,8
52,2016,8
52,2017,8
52,2018,8
52,2019,8
53,1990,485
53,1991,490
53,1992,487
53,1993,497
53,1994,498
53,1995,510
53,1996,531
53,1997,550
53,1998,558
53,1999,562
53,2000,557
53,2001,564
53,2002,578
53,2003,619
53,2004,672
53,2005,704
53,2006,725
53,2007,734
53,2008,739
53,2009,750
53,2010,759
53,2011,774
53,2012,822
53,2013,884
53,2014,927
53,2015,970
53,2016,992
53,2017,992
53,2018,993
53,2019,999
54,1990,228
54,1991,226
54,1992,224
54,1993,220
54,1994,213
54,1995,206
54,1996,198
54,1997,188
54,1998,182
54,1999,177
54,2000,173
54,2001,168
54,2002,164
54,2003,164
54,2004,159
54,2005,157
54,2006,151
54,2007,151
54,2008,149
54,2009,153
54,2010,158
54,2011,165
54,2012,171
54,2013,174
54,2014,178
54,2015,185
54,2016,191
54,2017,195
54,2018,199
54,2019,203
55,1990,510
55,1991,546
55,1992,545
55,1993,538
55,1994,539
55,1995,535
55,1996,552
55,1997,527
55,1998,536
