country_id,Year,number_of_deaths
1,1990,2637
1,1991,2652
1,1992,2688
1,1993,2744
1,1994,2805
1,1995,2839
1,1996,2878
1,1997,2914
1,1998,2944
1,1999,2976
1,2000,3013
1,2001,3068
1,2002,3078
1,2003,3104
1,2004,3137
1,2005,3153
1,2006,3178
1,2007,3214
1,2008,3267
1,2009,3311
1,2010,3344
1,2011,3403
1,2012,3468
1,2013,3525
1,2014,3602
1,2015,3695
1,2016,3790
1,2017,3912
1,2018,4021
1,2019,4117
2,1990,117
2,1991,119
2,1992,115
2,1993,111
2,1994,106
2,1995,111
2,1996,116
2,1997,119
2,1998,123
2,1999,130
2,2000,135
2,2001,138
2,2002,153
2,2003,172
2,2004,180
2,2005,185
2,2006,184
2,2007,185
2,2008,196
2,2009,201
2,2010,210
2,2011,220
2,2012,229
2,2013,240
2,2014,253
2,2015,266
2,2016,277
2,2017,288
2,2018,299
2,2019,310
3,1990,3805
3,1991,3905
3,1992,4055
3,1993,4206
3,1994,4382
3,1995,4523
3,1996,4652
3,1997,4770
3,1998,4873
3,1999,5025
3,2000,5114
3,2001,5208
3,2002,5302
3,2003,5348
3,2004,5464
3,2005,5583
3,2006,5730
3,2007,5906
3,2008,6081
3,2009,6298
3,2010,6517
3,2011,6802
3,2012,7093
3,2013,7371
3,2014,7739
3,2015,8122
3,2016,8411
3,2017,8746
3,2018,9167
3,2019,9580
4,1990,4
4,1991,4
4,1992,5
4,1993,5
4,1994,5
4,1995,6
4,1996,6
4,1997,6
4,1998,7
4,1999,7
4,2000,7
4,2001,8
4,2002,8
4,2003,9
4,2004,9
4,2005,9
4,2006,9
4,2007,9
4,2008,9
4,2009,10
4,2010,10
4,2011,10
4,2012,10
4,2013,10
4,2014,11
4,2015,11
4,2016,11
4,2017,11
4,2018,12
4,2019,12
5,1990,4
5,1991,4
5,1992,5
5,1993,5
5,1994,5
5,1995,6
5,1996,6
5,1997,6
5,1998,6
5,1999,7
5,2000,7
5,2001,7
5,2002,8
5,2003,8
5,2004,9
5,2005,9
5,2006,9
5,2007,9
5,2008,10
5,2009,10
5,2010,11
5,2011,11
5,2012,11
5,2013,11
5,2014,11
5,2015,12
5,2016,12
5,2017,12
5,2018,12
5,2019,13
6,1990,249
6,1991,257
6,1992,266
6,1993,277
6,1994,288
6,1995,296
6,1996,302
6,1997,312
6,1998,328
6,1999,343
6,2000,356
6,2001,364
6,2002,374
6,2003,392
6,2004,412
6,2005,421
6,2006,437
6,2007,448
6,2008,471
6,2009,493
6,2010,515
6,2011,539
6,2012,564
6,2013,585
6,2014,599
6,2015,631
6,2016,666
6,2017,707
6,2018,750
6,2019,796
7,1990,12
7,1991,13
7,1992,13
7,1993,15
7,1994,15
7,1995,15
7,1996,14
7,1997,14
7,1998,14
7,1999,14
7,2000,14
7,2001,14
7,2002,14
7,2003,14
7,2004,14
7,2005,14
7,2006,14
7,2007,16
7,2008,16
7,2009,15
7,2010,15
7,2011,16
7,2012,16
7,2013,16
7,2014,16
7,2015,17
7,2016,17
7,2017,17
7,2018,18
7,2019,18
8,1990,778
8,1991,691
8,1992,648
8,1993,612
8,1994,580
8,1995,584
8,1996,597
8,1997,632
8,1998,690
8,1999,743
8,2000,747
8,2001,761
8,2002,783
8,2003,805
8,2004,794
8,2005,785
8,2006,789
8,2007,814
8,2008,791
8,2009,801
8,2010,829
8,2011,840
8,2012,843
8,2013,853
8,2014,860
8,2015,888
8,2016,994
8,2017,1089
8,2018,1075
8,2019,1088
9,1990,328
9,1991,354
9,1992,399
9,1993,422
9,1994,400
9,1995,398
9,1996,401
9,1997,386
9,1998,390
9,1999,396
9,2000,397
9,2001,406
9,2002,416
9,2003,431
9,2004,431
9,2005,441
9,2006,452
9,2007,458
9,2008,477
9,2009,487
9,2010,506
9,2011,517
9,2012,525
9,2013,524
9,2014,531
9,2015,552
9,2016,559
9,2017,577
9,2018,589
9,2019,596
10,1990,3350
10,1991,3395
10,1992,3525
10,1993,3607
10,1994,3770
10,1995,3831
10,1996,3929
10,1997,3957
10,1998,3959
10,1999,3958
10,2000,3974
10,2001,3984
10,2002,4036
10,2003,4004
10,2004,3948
10,2005,3906
10,2006,3937
10,2007,4033
10,2008,4095
10,2009,4046
10,2010,4010
10,2011,4002
10,2012,3870
10,2013,3750
10,2014,3748
10,2015,3801
10,2016,3806
10,2017,3947
10,2018,4172
10,2019,4400
11,1990,2240
11,1991,2275
11,1992,2296
11,1993,2309
11,1994,2307
11,1995,2349
11,1996,2377
11,1997,2354
11,1998,2364
11,1999,2383
11,2000,2362
11,2001,2297
11,2002,2300
11,2003,2298
11,2004,2233
11,2005,2243
11,2006,2195
11,2007,2185
11,2008,2170
11,2009,2174
11,2010,2154
11,2011,2128
11,2012,2084
11,2013,2010
11,2014,1962
11,2015,1967
11,2016,2065
11,2017,2184
11,2018,2226
11,2019,2258
12,1990,584
12,1991,618
12,1992,669
12,1993,730
12,1994,776
12,1995,748
12,1996,724
12,1997,709
12,1998,711
12,1999,725
12,2000,738
12,2001,746
12,2002,762
12,2003,785
12,2004,791
12,2005,826
12,2006,856
12,2007,868
12,2008,909
12,2009,962
12,2010,1011
12,2011,1072
12,2012,1116
12,2013,1170
12,2014,1231
12,2015,1258
12,2016,1313
12,2017,1352
12,2018,1306
12,2019,1312
13,1990,28
13,1991,29
13,1992,29
13,1993,31
13,1994,32
13,1995,33
13,1996,35
13,1997,35
13,1998,36
13,1999,38
13,2000,38
13,2001,39
13,2002,39
13,2003,39
13,2004,40
13,2005,38
13,2006,38
13,2007,38
13,2008,40
13,2009,43
13,2010,44
13,2011,45
13,2012,46
13,2013,47
13,2014,48
13,2015,50
13,2016,52
13,2017,54
13,2018,56
13,2019,59
14,1990,74
14,1991,77
14,1992,79
14,1993,79
14,1994,81
14,1995,84
14,1996,87
14,1997,89
14,1998,91
14,1999,94
14,2000,87
14,2001,80
14,2002,95
14,2003,109
14,2004,115
14,2005,119
14,2006,121
14,2007,123
14,2008,126
14,2009,129
14,2010,136
14,2011,141
14,2012,146
14,2013,151
14,2014,157
14,2015,166
14,2016,179
14,2017,194
14,2018,209
14,2019,228
15,1990,3449
15,1991,3291
15,1992,3465
15,1993,3629
15,1994,3787
15,1995,4000
15,1996,4060
15,1997,4117
15,1998,4306
15,1999,4540
15,2000,4802
15,2001,4987
15,2002,5382
15,2003,5775
15,2004,6004
15,2005,6329
