country_id,Year,number_of_deaths
1,1990,5174
1,1991,5247
1,1992,5363
1,1993,5522
1,1994,5689
1,1995,5801
1,1996,5934
1,1997,6066
1,1998,6178
1,1999,6288
1,2000,6378
1,2001,6505
1,2002,6488
1,2003,6528
1,2004,6594
1,2005,6636
1,2006,6720
1,2007,6849
1,2008,7026
1,2009,7181
1,2010,7340
1,2011,7572
1,2012,7856
1,2013,8124
1,2014,8429
1,2015,8786
1,2016,9157
1,2017,9586
1,2018,9975
1,2019,10306
2,1990,2752
2,1991,2809
2,1992,2705
2,1993,2603
2,1994,2453
2,1995,2550
2,1996,2674
2,1997,2745
2,1998,2788
2,1999,2795
2,2000,2832
2,2001,2768
2,2002,2898
2,2003,3100
2,2004,3166
2,2005,3108
2,2006,2973
2,2007,2899
2,2008,3011
2,2009,3061
2,2010,3147
2,2011,3302
2,2012,3411
2,2013,3544
2,2014,3741
2,2015,3936
2,2016,4058
2,2017,4183
2,2018,4304
2,2019,4425
3,1990,13780
3,1991,14233
3,1992,14541
3,1993,14827
3,1994,15078
3,1995,15270
3,1996,15364
3,1997,15420
3,1998,15442
3,1999,15611
3,2000,15654
3,2001,15699
3,2002,15762
3,2003,15844
3,2004,15980
3,2005,16144
3,2006,16306
3,2007,16513
3,2008,16733
3,2009,17014
3,2010,17238
3,2011,17595
3,2012,17978
3,2013,18318
3,2014,18740
3,2015,19251
3,2016,19759
3,2017,20376
3,2018,20914
3,2019,21555
4,1990,34
4,1991,35
4,1992,36
4,1993,36
4,1994,37
4,1995,38
4,1996,39
4,1997,40
4,1998,41
4,1999,42
4,2000,43
4,2001,43
4,2002,44
4,2003,45
4,2004,45
4,2005,45
4,2006,46
4,2007,46
4,2008,47
4,2009,48
4,2010,48
4,2011,49
4,2012,49
4,2013,50
4,2014,51
4,2015,52
4,2016,53
4,2017,53
4,2018,54
4,2019,55
5,1990,60
5,1991,63
5,1992,67
5,1993,71
5,1994,72
5,1995,74
5,1996,75
5,1997,76
5,1998,78
5,1999,79
5,2000,81
5,2001,82
5,2002,84
5,2003,87
5,2004,89
5,2005,90
5,2006,92
5,2007,94
5,2008,96
5,2009,98
5,2010,99
5,2011,94
5,2012,92
5,2013,93
5,2014,95
5,2015,97
5,2016,98
5,2017,101
5,2018,104
5,2019,106
6,1990,4507
6,1991,4613
6,1992,4732
6,1993,4916
6,1994,5085
6,1995,5178
6,1996,5151
6,1997,5198
6,1998,5369
6,1999,5484
6,2000,5561
6,2001,5568
6,2002,5440
6,2003,5460
6,2004,5597
6,2005,5536
6,2006,5662
6,2007,5704
6,2008,5792
6,2009,5904
6,2010,6005
6,2011,6158
6,2012,6351
6,2013,6477
6,2014,6489
6,2015,6634
6,2016,6787
6,2017,7007
6,2018,7243
6,2019,7511
7,1990,24
7,1991,25
7,1992,25
7,1993,27
7,1994,27
7,1995,27
7,1996,25
7,1997,25
7,1998,25
7,1999,25
7,2000,25
7,2001,25
7,2002,25
7,2003,26
7,2004,26
7,2005,26
7,2006,27
7,2007,32
7,2008,33
7,2009,30
7,2010,30
7,2011,31
7,2012,31
7,2013,31
7,2014,32
7,2015,33
7,2016,34
7,2017,35
7,2018,36
7,2019,37
8,1990,46415
8,1991,45869
8,1992,46216
8,1993,45708
8,1994,44885
8,1995,45126
8,1996,45556
8,1997,45967
8,1998,46526
8,1999,46945
8,2000,45673
8,2001,45880
8,2002,46722
8,2003,47185
8,2004,46319
8,2005,45836
8,2006,46026
8,2007,47285
8,2008,46398
8,2009,46503
8,2010,46971
8,2011,47324
8,2012,47485
8,2013,47689
8,2014,47575
8,2015,48531
8,2016,50483
8,2017,51077
8,2018,50863
8,2019,51306
9,1990,4243
9,1991,4532
9,1992,4942
9,1993,5167
9,1994,4978
9,1995,4927
9,1996,4988
9,1997,4793
9,1998,4674
9,1999,4759
