country_id,Year,number_of_deaths
1,1990,7686
1,1991,7886
1,1992,8568
1,1993,9875
1,1994,11031
1,1995,11973
1,1996,12426
1,1997,12805
1,1998,13011
1,1999,13052
1,2000,12965
1,2001,12732
1,2002,12069
1,2003,9862
1,2004,8928
1,2005,8380
1,2006,7885
1,2007,7303
1,2008,7148
1,2009,6867
1,2010,6192
1,2011,5800
1,2012,5541
1,2013,4710
1,2014,4380
1,2015,4206
1,2016,3834
1,2017,3635
1,2018,3536
1,2019,3071
2,1990,390
2,1991,355
2,1992,342
2,1993,320
2,1994,291
2,1995,245
2,1996,206
2,1997,173
2,1998,146
2,1999,117
2,2000,90
2,2001,68
2,2002,52
2,2003,40
2,2004,30
2,2005,24
2,2006,20
2,2007,17
2,2008,15
2,2009,13
2,2010,12
2,2011,12
2,2012,12
2,2013,13
2,2014,13
2,2015,12
2,2016,12
2,2017,11
2,2018,10
2,2019,10
3,1990,1622
3,1991,1472
3,1992,1346
3,1993,1232
3,1994,1121
3,1995,1011
3,1996,905
3,1997,722
3,1998,623
3,1999,547
3,2000,474
3,2001,394
3,2002,356
3,2003,320
3,2004,263
3,2005,233
3,2006,210
3,2007,188
3,2008,171
3,2009,166
3,2010,151
3,2011,141
3,2012,131
3,2013,126
3,2014,120
3,2015,112
3,2016,104
3,2017,95
3,2018,80
3,2019,68
4,1990,0
4,1991,0
4,1992,0
4,1993,0
4,1994,0
4,1995,0
4,1996,0
4,1997,0
4,1998,0
4,1999,0
4,2000,0
4,2001,0
4,2002,0
4,2003,0
4,2004,0
4,2005,0
4,2006,0
4,2007,0
4,2008,0
4,2009,0
4,2010,0
4,2011,0
4,2012,0
4,2013,0
4,2014,0
4,2015,0
4,2016,0
4,2017,0
4,2018,0
4,2019,0
5,1990,0
5,1991,0
5,1992,0
5,1993,0
5,1994,0
5,1995,0
5,1996,0
5,1997,0
5,1998,0
5,1999,0
5,2000,0
5,2001,0
5,2002,0
5,2003,0
5,2004,0
5,2005,0
5,2006,0
5,2007,0
5,2008,0
5,2009,0
5,2010,0
5,2011,0
5,2012,0
5,2013,0
5,2014,0
5,2015,0
5,2016,0
5,2017,0
5,2018,0
5,2019,0
6,1990,10158
6,1991,10280
6,1992,10359
6,1993,10528
6,1994,10749
6,1995,10862
6,1996,10744
6,1997,10563
6,1998,10319
6,1999,10030
6,2000,9737
6,2001,9288
6,2002,8791
6,2003,8289
6,2004,6955
6,2005,6354
6,2006,6222
6,2007,5662
6,2008,5404
6,2009,5463
6,2010,4939
6,2011,4628
6,2012,4216
6,2013,3831
6,2014,3512
6,2015,2983
6,2016,2615
6,2017,2439
6,2018,2171
6,2019,1824
7,1990,0
7,1991,0
7,1992,0
7,1993,0
7,1994,0
7,1995,0
7,1996,0
7,1997,0
7,1998,0
7,1999,0
7,2000,0
7,2001,0
7,2002,0
7,2003,0
7,2004,0
7,2005,0
7,2006,0
7,2007,0
7,2008,0
7,2009,0
7,2010,0
7,2011,0
7,2012,0
7,2013,0
7,2014,0
7,2015,0
7,2016,0
7,2017,0
7,2018,0
7,2019,0
8,1990,137
8,1991,130
8,1992,118
8,1993,107
8,1994,100
8,1995,99
8,1996,96
8,1997,88
8,1998,84
8,1999,75
8,2000,68
8,2001,65
8,2002,65
8,2003,64
8,2004,56
8,2005,50
8,2006,48
8,2007,48
8,2008,47
8,2009,46
8,2010,43
8,2011,42
8,2012,38
8,2013,37
8,2014,36
8,2015,33
8,2016,31
8,2017,29
8,2018,27
8,2019,26
9,1990,110
9,1991,100
9,1992,93
9,1993,84
9,1994,75
9,1995,65
9,1996,56
9,1997,48
9,1998,41
9,1999,37
9,2000,32
9,2001,29
9,2002,25
9,2003,23
9,2004,22
9,2005,20
9,2006,18
9,2007,17
9,2008,16
9,2009,16
9,2010,15
9,2011,14
9,2012,13
9,2013,12
9,2014,11
9,2015,11
9,2016,10
9,2017,9
9,2018,8
9,2019,7
10,1990,3
10,1991,2
10,1992,2
10,1993,2
10,1994,2
10,1995,2
10,1996,2
10,1997,2
10,1998,2
10,1999,2
10,2000,2
10,2001,2
10,2002,2
10,2003,2
10,2004,2
10,2005,2
10,2006,2
10,2007,2
10,2008,1
10,2009,1
10,2010,1
10,2011,1
10,2012,1
10,2013,1
10,2014,1
10,2015,1
10,2016,1
10,2017,1
10,2018,1
10,2019,1
11,1990,1
11,1991,1
11,1992,1
11,1993,0
11,1994,0
11,1995,0
11,1996,0
11,1997,0
11,1998,0
11,1999,0
11,2000,0
11,2001,0
11,2002,0
11,2003,0
11,2004,0
11,2005,0
11,2006,0
11,2007,0
11,2008,0
11,2009,0
11,2010,0
11,2011,0
11,2012,0
11,2013,0
11,2014,0
11,2015,0
11,2016,0
11,2017,0
11,2018,0
11,2019,0
12,1990,889
12,1991,861
12,1992,827
12,1993,786
12,1994,742
12,1995,687
12,1996,635
12,1997,588
12,1998,549
12,1999,501
12,2000,445
12,2001,387
12,2002,352
12,2003,329
12,2004,309
12,2005,288
12,2006,264
12,2007,235
12,2008,210
12,2009,189
12,2010,176
12,2011,164
12,2012,152
12,2013,141
12,2014,130
12,2015,120
12,2016,110
12,2017,99
12,2018,89
12,2019,81
13,1990,1
13,1991,1
13,1992,1
13,1993,1
13,1994,1
13,1995,1
13,1996,1
13,1997,1
13,1998,1
13,1999,1
13,2000,0
13,2001,0
13,2002,0
13,2003,0
13,2004,0
13,2005,0
13,2006,0
13,2007,0
13,2008,0
13,2009,0
13,2010,0
13,2011,0
13,2012,0
13,2013,0
13,2014,0
13,2015,0
13,2016,0
13,2017,0
13,2018,0
13,2019,0
14,1990,2
14,1991,2
14,1992,1
14,1993,1
14,1994,1
14,1995,1
14,1996,1
14,1997,1
14,1998,1
14,1999,0
14,2000,0
14,2001,0
14,2002,0
14,2003,0
14,2004,0
14,2005,0
14,2006,0
14,2007,0
14,2008,0
14,2009,0
14,2010,0
14,2011,0
14,2012,0
14,2013,0
14,2014,0
14,2015,0
14,2016,0
14,2017,0
14,2018,0
14,2019,0
15,1990,34218
15,1991,33140
15,1992,30770
15,1993,28694
15,1994,26484
15,1995,24373
15,1996,22202
15,1997,20145
15,1998,18162
15,1999,16372
15,2000,14816
15,2001,13464
15,2002,12242
15,2003,11129
15,2004,10124
15,2005,9224
15,2006,8247
15,2007,6432
15,2008,5589
15,2009,4948
15,2010,4490
15,2011,3973
15,2012,3681
15,2013,3225
15,2014,2851
15,2015,2244
15,2016,1986
15,2017,1752
15,2018,1516
15,2019,1351
16,1990,0
16,1991,0
16,1992,0
16,1993,0
16,1994,0
16,1995,0
16,1996,0
16,1997,0
16,1998,0
16,1999,0
16,2000,0
16,2001,0
16,2002,0
16,2003,0
16,2004,0
16,2005,0
16,2006,0
16,2007,0
16,2008,0
16,2009,0
16,2010,0
16,2011,0
16,2012,0
16,2013,0
16,2014,0
16,2015,0
16,2016,0
16,2017,0
16,2018,0
16,2019,0
17,1990,16
17,1991,15
17,1992,14
17,1993,12
17,1994,12
17,1995,10
17,1996,9
17,1997,8
17,1998,8
17,1999,7
17,2000,6
17,2001,6
17,2002,5
17,2003,4
17,2004,3
17,2005,3
17,2006,2
17,2007,2
17,2008,2
17,2009,2
17,2010,2
17,2011,1
17,2012,1
17,2013,1
17,2014,1
17,2015,1
17,2016,1
17,2017,1
17,2018,1
17,2019,1
18,1990,1
18,1991,1
18,1992,1
18,1993,1
18,1994,1
18,1995,0
18,1996,0
18,1997,0
18,1998,0
18,1999,0
18,2000,0
18,2001,0
18,2002,0
18,2003,0
18,2004,0
18,2005,0
18,2006,0
18,2007,0
18,2008,0
18,2009,0
18,2010,0
18,2011,0
18,2012,0
18,2013,0
18,2014,0
18,2015,0
18,2016,0
18,2017,0
18,2018,0
18,2019,0
19,1990,5
19,1991,5
19,1992,4
19,1993,4
19,1994,3
19,1995,3
19,1996,3
19,1997,3
19,1998,3
19,1999,3
19,2000,3
19,2001,3
19,2002,2
19,2003,2
19,2004,2
19,2005,2
19,2006,2
19,2007,2
19,2008,2
19,2009,2
19,2010,1
19,2011,1
19,2012,1
19,2013,1
19,2014,1
19,2015,1
19,2016,1
19,2017,1
19,2018,1
19,2019,1
20,1990,3208
20,1991,3204
20,1992,3138
20,1993,3077
20,1994,3034
20,1995,2983
20,1996,2971
20,1997,2916
20,1998,2893
20,1999,2873
20,2000,2846
20,2001,2763
20,2002,2501
20,2003,2411
20,2004,2059
20,2005,1981
20,2006,1914
20,2007,1957
20,2008,2065
20,2009,2168
20,2010,2220
20,2011,2401
20,2012,2219
20,2013,2223
20,2014,2359
20,2015,2046
20,2016,1965
20,2017,2007
20,2018,1843
20,2019,1858
21,1990,0
21,1991,0
21,1992,0
21,1993,0
21,1994,0
21,1995,0
21,1996,0
21,1997,0
21,1998,0
21,1999,0
21,2000,0
21,2001,0
21,2002,0
21,2003,0
21,2004,0
21,2005,0
21,2006,0
21,2007,0
21,2008,0
21,2009,0
21,2010,0
21,2011,0
21,2012,0
21,2013,0
21,2014,0
21,2015,0
21,2016,0
21,2017,0
21,2018,0
21,2019,0
22,1990,166
22,1991,167
22,1992,154
22,1993,143
22,1994,128
22,1995,120
22,1996,98
22,1997,73
22,1998,69
22,1999,60
22,2000,65
22,2001,52
22,2002,47
22,2003,45
22,2004,43
22,2005,42
22,2006,45
22,2007,25
22,2008,22
22,2009,18
22,2010,16
22,2011,15
22,2012,16
22,2013,14
22,2014,12
22,2015,11
22,2016,10
22,2017,8
22,2018,6
22,2019,5
23,1990,1527
23,1991,1472
23,1992,1385
23,1993,1281
23,1994,1179
23,1995,1104
23,1996,1036
23,1997,953
23,1998,884
23,1999,821
23,2000,756
23,2001,691
23,2002,623
23,2003,562
23,2004,509
23,2005,463
23,2006,420
23,2007,385
23,2008,350
23,2009,320
23,2010,295
23,2011,274
23,2012,257
23,2013,242
23,2014,229
23,2015,212
23,2016,193
23,2017,179
23,2018,163
23,2019,152
24,1990,5
24,1991,4
24,1992,4
24,1993,4
24,1994,4
24,1995,4
24,1996,3
24,1997,3
24,1998,2
24,1999,1
24,2000,1
24,2001,1
24,2002,1
24,2003,1
24,2004,1
24,2005,1
24,2006,1
24,2007,1
24,2008,1
24,2009,0
24,2010,0
24,2011,0
24,2012,0
24,2013,0
24,2014,0
24,2015,0
24,2016,0
24,2017,0
24,2018,0
24,2019,0
25,1990,140
25,1991,133
25,1992,125
25,1993,114
25,1994,105
25,1995,98
25,1996,91
25,1997,87
25,1998,74
25,1999,69
25,2000,72
25,2001,78
25,2002,85
25,2003,98
25,2004,110
25,2005,116
25,2006,155
25,2007,106
25,2008,104
25,2009,103
25,2010,96
25,2011,93
25,2012,88
25,2013,83
25,2014,75
25,2015,72
25,2016,70
25,2017,64
25,2018,61
25,2019,58
26,1990,6258
26,1991,5711
26,1992,5185
26,1993,4721
26,1994,4249
26,1995,3825
26,1996,3438
26,1997,3087
26,1998,2793
26,1999,2522
26,2000,2267
26,2001,2087
26,2002,1924
26,2003,1776
26,2004,1634
26,2005,1501
26,2006,1363
26,2007,1234
26,2008,1113
26,2009,1003
26,2010,903
26,2011,822
26,2012,739
26,2013,664
26,2014,585
26,2015,523
26,2016,478
26,2017,438
