country_id,Year,number_of_deaths
1,1990,3702
1,1991,4309
1,1992,5356
1,1993,7152
1,1994,7192
1,1995,8378
1,1996,8487
1,1997,9348
1,1998,9788
1,1999,9931
1,2000,9942
1,2001,10052
1,2002,10004
1,2003,10841
1,2004,10761
1,2005,10118
1,2006,9081
1,2007,8168
1,2008,7245
1,2009,6437
1,2010,6021
1,2011,5600
1,2012,5243
1,2013,5220
1,2014,5010
1,2015,4796
1,2016,4678
1,2017,4632
1,2018,3994
1,2019,3751
2,1990,53
2,1991,54
2,1992,52
2,1993,47
2,1994,57
2,1995,29
2,1996,23
2,1997,19
2,1998,16
2,1999,12
2,2000,10
2,2001,9
2,2002,8
2,2003,7
2,2004,6
2,2005,6
2,2006,5
2,2007,5
2,2008,5
2,2009,4
2,2010,4
2,2011,4
2,2012,4
2,2013,4
2,2014,4
2,2015,4
2,2016,4
2,2017,4
2,2018,4
2,2019,4
3,1990,1851
3,1991,1625
3,1992,1455
3,1993,1336
3,1994,1240
3,1995,1145
3,1996,1028
3,1997,970
3,1998,904
3,1999,850
3,2000,789
3,2001,726
3,2002,658
3,2003,596
3,2004,548
3,2005,500
3,2006,466
3,2007,436
3,2008,410
3,2009,386
3,2010,366
3,2011,350
3,2012,337
3,2013,329
3,2014,324
3,2015,319
3,2016,310
3,2017,299
3,2018,287
3,2019,277
4,1990,2
4,1991,2
4,1992,2
4,1993,2
4,1994,2
4,1995,2
4,1996,2
4,1997,2
4,1998,2
4,1999,2
4,2000,2
4,2001,2
4,2002,2
4,2003,2
4,2004,2
4,2005,2
4,2006,2
4,2007,2
4,2008,2
4,2009,2
4,2010,2
4,2011,2
4,2012,2
4,2013,2
4,2014,2
4,2015,2
4,2016,2
4,2017,2
4,2018,2
4,2019,2
5,1990,0
5,1991,0
5,1992,0
5,1993,0
5,1994,0
5,1995,0
5,1996,0
5,1997,0
5,1998,0
5,1999,0
5,2000,0
5,2001,0
5,2002,0
5,2003,0
5,2004,0
5,2005,0
5,2006,0
5,2007,0
5,2008,0
5,2009,0
5,2010,0
5,2011,0
5,2012,0
5,2013,0
5,2014,0
5,2015,0
5,2016,0
5,2017,0
5,2018,0
5,2019,0
6,1990,31350
6,1991,31616
6,1992,31705
6,1993,32239
6,1994,33189
6,1995,33649
6,1996,32788
6,1997,32143
6,1998,31686
6,1999,30764
6,2000,29748
6,2001,27905
6,2002,26018
6,2003,24116
6,2004,23163
6,2005,21669
6,2006,22212
6,2007,20492
6,2008,19588
6,2009,18803
6,2010,18415
6,2011,18118
6,2012,17601
6,2013,16872
6,2014,15667
6,2015,14786
6,2016,13587
6,2017,13022
6,2018,11736
6,2019,11143
7,1990,2
7,1991,2
7,1992,2
7,1993,2
7,1994,2
7,1995,2
7,1996,2
7,1997,2
7,1998,2
7,1999,2
7,2000,1
7,2001,1
7,2002,1
7,2003,1
7,2004,1
7,2005,1
7,2006,1
7,2007,1
7,2008,1
7,2009,1
7,2010,1
7,2011,1
7,2012,1
7,2013,1
7,2014,1
7,2015,1
7,2016,1
7,2017,1
7,2018,1
7,2019,1
8,1990,827
8,1991,769
8,1992,693
8,1993,621
8,1994,576
8,1995,567
8,1996,557
8,1997,558
8,1998,544
8,1999,517
8,2000,474
8,2001,454
8,2002,452
8,2003,428
8,2004,387
8,2005,354
8,2006,338
8,2007,332
8,2008,322
8,2009,318
8,2010,321
8,2011,326
8,2012,326
8,2013,334
8,2014,341
8,2015,341
8,2016,345
8,2017,334
8,2018,320
8,2019,315
9,1990,182
9,1991,177
9,1992,173
9,1993,155
9,1994,139
9,1995,121
9,1996,101
9,1997,86
9,1998,71
9,1999,57
9,2000,45
9,2001,36
9,2002,27
9,2003,21
9,2004,17
9,2005,13
9,2006,10
9,2007,8
9,2008,7
9,2009,6
9,2010,5
9,2011,5
9,2012,4
9,2013,4
9,2014,4
9,2015,3
9,2016,3
9,2017,3
9,2018,3
9,2019,3
10,1990,8
10,1991,10
10,1992,11
10,1993,12
10,1994,14
10,1995,15
10,1996,15
10,1997,14
10,1998,14
10,1999,14
10,2000,14
10,2001,15
10,2002,16
10,2003,18
10,2004,20
10,2005,21
10,2006,25
10,2007,27
10,2008,29
10,2009,31
10,2010,33
10,2011,37
10,2012,39
10,2013,38
10,2014,39
10,2015,40
10,2016,40
10,2017,39
10,2018,39
10,2019,40
11,1990,1
11,1991,1
11,1992,1
11,1993,0
11,1994,0
11,1995,0
11,1996,0
11,1997,0
11,1998,0
11,1999,0
11,2000,0
11,2001,0
11,2002,0
11,2003,1
11,2004,1
11,2005,1
11,2006,1
11,2007,1
11,2008,2
11,2009,2
11,2010,2
11,2011,2
11,2012,2
11,2013,3
11,2014,3
11,2015,3
11,2016,3
11,2017,4
11,2018,3
11,2019,3
12,1990,1090
12,1991,1033
12,1992,986
12,1993,947
12,1994,899
12,1995,856
12,1996,785
12,1997,730
12,1998,686
12,1999,620
12,2000,554
12,2001,459
12,2002,371
12,2003,303
