country_id,Year,number_of_deaths
1,1990,2798
1,1991,3254
1,1992,4042
1,1993,5392
1,1994,5418
1,1995,6313
1,1996,6393
1,1997,7038
1,1998,7366
1,1999,7468
1,2000,7472
1,2001,7547
1,2002,7497
1,2003,8106
1,2004,8028
1,2005,7532
1,2006,6740
1,2007,6050
1,2008,5350
1,2009,4732
1,2010,4402
1,2011,4069
1,2012,3784
1,2013,3739
1,2014,3563
1,2015,3378
1,2016,3279
1,2017,3231
1,2018,2771
1,2019,2592
2,1990,31
2,1991,32
2,1992,31
2,1993,28
2,1994,34
2,1995,18
2,1996,14
2,1997,11
2,1998,9
2,1999,7
2,2000,5
2,2001,5
2,2002,4
2,2003,3
2,2004,3
2,2005,3
2,2006,2
2,2007,2
2,2008,2
2,2009,2
2,2010,2
2,2011,2
2,2012,2
2,2013,2
2,2014,2
2,2015,2
2,2016,2
2,2017,1
2,2018,1
2,2019,1
3,1990,1233
3,1991,1062
3,1992,932
3,1993,831
3,1994,748
3,1995,672
3,1996,585
3,1997,535
3,1998,484
3,1999,442
3,2000,399
3,2001,355
3,2002,313
3,2003,277
3,2004,248
3,2005,221
3,2006,201
3,2007,184
3,2008,170
3,2009,157
3,2010,146
3,2011,136
3,2012,128
3,2013,122
3,2014,118
3,2015,113
3,2016,107
3,2017,100
3,2018,92
3,2019,86
4,1990,1
4,1991,1
4,1992,1
4,1993,1
4,1994,1
4,1995,1
4,1996,1
4,1997,1
4,1998,1
4,1999,1
4,2000,1
4,2001,1
4,2002,1
4,2003,1
4,2004,1
4,2005,1
4,2006,1
4,2007,1
4,2008,0
4,2009,0
4,2010,1
4,2011,0
4,2012,0
4,2013,0
4,2014,0
4,2015,0
4,2016,0
4,2017,0
4,2018,0
4,2019,0
5,1990,0
5,1991,0
5,1992,0
5,1993,0
5,1994,0
5,1995,0
5,1996,0
5,1997,0
5,1998,0
5,1999,0
5,2000,0
5,2001,0
5,2002,0
5,2003,0
5,2004,0
5,2005,0
5,2006,0
5,2007,0
5,2008,0
5,2009,0
5,2010,0
5,2011,0
5,2012,0
5,2013,0
5,2014,0
5,2015,0
5,2016,0
5,2017,0
5,2018,0
5,2019,0
6,1990,22756
6,1991,22864
6,1992,22805
6,1993,23090
6,1994,23687
6,1995,23928
6,1996,23174
6,1997,22564
6,1998,22086
6,1999,21261
6,2000,20439
6,2001,19103
6,2002,17790
6,2003,16450
6,2004,15736
6,2005,14701
6,2006,15040
6,2007,13913
6,2008,13337
6,2009,12811
6,2010,12561
6,2011,12345
6,2012,11940
6,2013,11395
6,2014,10490
6,2015,9770
6,2016,8857
6,2017,8357
6,2018,7412
6,2019,6951
7,1990,1
7,1991,1
7,1992,1
7,1993,1
7,1994,1
7,1995,1
7,1996,1
7,1997,1
7,1998,1
7,1999,1
7,2000,1
7,2001,1
7,2002,1
7,2003,0
7,2004,0
7,2005,0
7,2006,0
7,2007,0
7,2008,0
7,2009,0
7,2010,0
7,2011,0
