country_id,Year,number_of_deaths
1,1990,351
1,1991,361
1,1992,378
1,1993,395
1,1994,410
1,1995,422
1,1996,435
1,1997,448
1,1998,458
1,1999,469
1,2000,482
1,2001,500
1,2002,507
1,2003,518
1,2004,533
1,2005,541
1,2006,549
1,2007,557
1,2008,568
1,2009,576
1,2010,587
1,2011,597
1,2012,609
1,2013,621
1,2014,633
1,2015,647
1,2016,669
1,2017,693
1,2018,715
1,2019,741
2,1990,47
2,1991,49
2,1992,47
2,1993,45
2,1994,44
2,1995,47
2,1996,49
2,1997,50
2,1998,51
2,1999,53
2,2000,53
2,2001,52
2,2002,55
2,2003,59
2,2004,60
2,2005,63
2,2006,62
2,2007,61
2,2008,62
2,2009,62
2,2010,62
2,2011,62
2,2012,63
2,2013,63
2,2014,64
2,2015,65
2,2016,65
2,2017,65
2,2018,66
2,2019,66
3,1990,516
3,1991,529
3,1992,539
3,1993,549
3,1994,563
3,1995,574
3,1996,575
3,1997,577
3,1998,576
3,1999,587
3,2000,595
3,2001,606
3,2002,622
3,2003,639
3,2004,664
3,2005,689
3,2006,721
3,2007,750
3,2008,778
3,2009,807
3,2010,823
3,2011,833
3,2012,846
3,2013,865
3,2014,880
3,2015,891
3,2016,898
3,2017,906
3,2018,924
3,2019,936
4,1990,1
4,1991,1
4,1992,1
4,1993,1
4,1994,2
4,1995,2
4,1996,2
4,1997,2
4,1998,2
4,1999,2
4,2000,2
4,2001,2
4,2002,2
4,2003,2
4,2004,2
4,2005,2
4,2006,2
4,2007,2
4,2008,2
4,2009,2
4,2010,2
4,2011,2
4,2012,3
4,2013,3
4,2014,3
4,2015,3
4,2016,3
4,2017,3
4,2018,3
4,2019,3
5,1990,3
5,1991,3
5,1992,3
5,1993,4
5,1994,4
5,1995,4
5,1996,4
5,1997,4
5,1998,4
5,1999,4
5,2000,4
5,2001,4
5,2002,5
5,2003,5
5,2004,5
5,2005,5
5,2006,5
5,2007,5
5,2008,6
5,2009,6
5,2010,6
5,2011,5
5,2012,5
5,2013,5
5,2014,5
5,2015,6
5,2016,5
5,2017,5
5,2018,6
5,2019,6
6,1990,876
6,1991,980
6,1992,1125
6,1993,1329
6,1994,1586
6,1995,1889
6,1996,2240
6,1997,2697
6,1998,3267
6,1999,3905
6,2000,4583
6,2001,5298
6,2002,6088
6,2003,6913
6,2004,7721
6,2005,8418
6,2006,8842
6,2007,9123
6,2008,9571
6,2009,10005
6,2010,10446
6,2011,10991
6,2012,11596
6,2013,11640
6,2014,11439
6,2015,12077
6,2016,13623
6,2017,15200
6,2018,16086
6,2019,16383
7,1990,9
7,1991,7
7,1992,8
7,1993,10
7,1994,10
7,1995,11
7,1996,12
7,1997,11
7,1998,10
7,1999,12
7,2000,14
7,2001,14
7,2002,14
7,2003,13
7,2004,13
7,2005,12
7,2006,12
7,2007,11
7,2008,11
7,2009,10
7,2010,11
7,2011,11
7,2012,11
7,2013,11
7,2014,13
7,2015,13
7,2016,12
7,2017,12
7,2018,12
7,2019,12
8,1990,2353
8,1991,2474
8,1992,2708
8,1993,2812
8,1994,3098
8,1995,3413
8,1996,3709
8,1997,3975
8,1998,3963
8,1999,3960
8,2000,3966
8,2001,4014
8,2002,4095
8,2003,4181
8,2004,4061
8,2005,3926
8,2006,4010
8,2007,4109
8,2008,4110
8,2009,4171
8,2010,4147
8,2011,4136
8,2012,4293
8,2013,4370
8,2014,4437
8,2015,4497
8,2016,4655
8,2017,4684
8,2018,4669
8,2019,4661
9,1990,162
9,1991,167
9,1992,180
9,1993,179
9,1994,169
9,1995,175
9,1996,184
9,1997,183
9,1998,188
9,1999,186
9,2000,183
9,2001,190
9,2002,190
9,2003,193
9,2004,193
