country_id,Year,High_Blood_Pressure,Alcohol,Toxic_Water,Secondhand_smoke,Low_birth_weight,Child_malnutrition,Unsafe_sex,Household_air_pollution,Sedentary_lifestyle,Smoking,Hyperglycemia,High_BMI,Unsafe_sanitation,Lack_of_handwashing_facility,Drugs,Osteoporosis,Stunting_of_growth,Air_Pollution,Poor_Nutrition,Partial_breastfeeding,Elements_Deficiency
1,1990,25633,356,3702,4794,16135,19546,351,34372,2637,5174,11449,9518,2798,4825,174,389,7686,40400,9396,2323,2580
1,1991,25872,364,4309,4921,17924,20334,361,35392,2652,5247,11811,9489,3254,5127,188,389,7886,41537,9598,2622,2667
1,1992,26309,376,5356,5279,21200,22895,378,38065,2688,5363,12265,9528,4042,5889,211,393,8568,44567,9900,3203,2800
1,1993,26961,389,7152,5734,23795,27002,395,41154,2744,5522,12821,9611,5392,7007,232,411,9875,48111,10270,3930,3089
1,1994,27658,399,7192,6050,24866,29205,410,43153,2805,5689,13400,9675,5418,7421,247,413,11031,50422,10630,4037,3477
1,1995,28090,406,8378,6167,25534,30943,422,44024,2839,5801,13871,9608,6313,7896,260,417,11973,51435,10856,4357,3918
1,1996,28587,413,8487,6298,25997,31628,435,45005,2878,5934,14413,9503,6393,8098,274,423,12426,52560,11116,4416,4097
1,1997,29021,420,9348,6425,26246,32736,448,46017,2914,6066,14970,9286,7038,8507,287,425,12805,53727,11373,4648,4142
1,1998,29349,425,9788,6402,25805,32760,458,46055,2944,6178,15502,9024,7366,8560,295,429,13011,53786,11574,4681,4337
1,1999,29712,426,9931,6323,25080,32271,469,45681,2976,6288,16058,8857,7468,8424,302,428,13052,53391,11747,4589,4571
1,2000,29999,427,9942,6227,24549,31559,482,45132,3013,6378,16545,8829,7472,8233,312,431,12965,52784,11844,4451,4752
1,2001,30421,432,10052,6214,24859,30938,500,45028,3068,6505,17144,9047,7547,8144,328,436,12732,52674,11983,4344,4863
1,2002,30189,432,10004,6103,25441,29619,507,44137,3078,6488,17467,9151,7497,7915,337,437,12069,51693,11870,4189,4735
1,2003,30157,437,10841,6341,25617,29098,518,44953,3104,6528,17921,9410,8106,8482,356,433,9862,52803,11855,4216,2874
1,2004,30225,445,10761,6383,25459,28167,533,44534,3137,6594,18397,9759,8028,8440,376,440,8928,52513,11863,4029,2315
1,2005,30089,452,10118,6272,25149,26669,541,43280,3153,6636,18652,10051,7532,8033,390,454,8380,51283,11796,3752,2250
1,2006,30075,456,9081,6153,24354,24987,549,41778,3178,6720,18917,10519,6740,7481,401,454,7885,49923,11743,3420,2223
1,2007,30080,465,8168,6010,23778,23100,557,40047,3214,6849,19183,11218,6050,6900,414,465,7303,48641,11677,3174,2234
1,2008,30219,478,7245,5868,23533,21624,568,38320,3267,7026,19498,12106,5350,6291,430,478,7148,47463,11657,2997,2563
1,2009,30280,485,6437,5752,23232,20264,576,36675,3311,7181,19730,12982,4732,5793,445,493,6867,46386,11590,2864,2705
1,2010,30352,492,6021,5714,23176,19135,587,35511,3344,7340,19883,13785,4402,5535,463,515,6192,45889,11550,2831,2394
1,2011,30684,496,5600,5686,23181,18163,597,34380,3403,7572,20216,14666,4069,5275,482,529,5800,45717,11628,2790,2300
1,2012,31090,502,5243,5676,23172,17368,609,33223,3468,7856,20593,15603,3784,5045,502,547,5541,45879,11735,2750,2255
1,2013,31462,508,5220,5739,23176,16573,621,32344,3525,8124,20961,16511,3739,5041,522,581,4710,46460,11801,2789,1700
1,2014,32002,514,5010,5758,22946,15919,633,31296,3602,8429,21441,17451,3563,4889,542,592,4380,46528,11939,2750,1549
1,2015,32640,522,4796,5785,22692,15256,647,30407,3695,8786,21991,18383,3378,4693,566,590,4206,46342,12203,2672,1531
1,2016,33393,540,4678,5871,22640,14573,669,29929,3790,9157,22660,19346,3279,4568,602,609,3834,46096,12487,2574,1350
1,2017,34382,564,4632,5950,22579,13970,693,29497,3912,9586,23427,20345,3231,4411,644,615,3635,45904,12903,2469,1311
1,2018,35263,575,3994,5987,22379,13067,715,28818,4021,9975,24183,21251,2771,4078,673,642,3536,45762,13283,2189,1386
1,2019,36017,583,3751,6062,22132,12285,741,28168,4117,10306,24888,22048,2592,3941,700,632,3071,46187,13604,2039,1154
2,1990,4280,289,53,902,731,840,47,1978,117,2752,868,1417,31,67,64,44,390,3982,1050,173,33
2,1991,4384,308,54,926,723,836,49,2033,119,2809,902,1463,32,70,68,48,355,4061,1081,172,8
2,1992,4224,314,52,892,710,809,47,1964,115,2705,884,1415,31,68,69,45,342,3906,1042,165,6
2,1993,4056,322,47,849,696,763,45,1881,111,2603,865,1363,28,64,72,44,320,3734,999,153,6
2,1994,3855,321,57,790,679,704,44,1771,106,2453,837,1301,34,60,75,42,291,3512,944,144,6
2,1995,4046,351,29,773,648,600,47,1792,111,2550,893,1371,18,52,80,44,245,3551,988,118,4
2,1996,4243,388,23,757,620,513,49,1796,116,2674,951,1450,14,46,85,45,206,3602,1033,101,4
2,1997,4388,437,19,739,621,438,50,1757,119,2745,998,1531,11,40,88,46,173,3645,1065,89,4
2,1998,4506,480,16,721,613,374,51,1692,123,2788,1039,1606,9,35,93,47,146,3658,1093,77,2
2,1999,4638,497,12,700,538,306,53,1609,130,2795,1084,1679,7,28,90,47,117,3635,1122,61,2
2,2000,4722,511,10,673,470,237,53,1514,135,2832,1117,1718,5,24,93,47,90,3573,1149,47,2
2,2001,4695,516,9,634,430,181,52,1402,138,2768,1123,1717,5,19,96,48,68,3438,1144,37,1
2,2002,5053,554,8,644,393,143,55,1397,153,2898,1222,1849,4,17,101,50,52,3574,1236,30,1
2,2003,5538,609,7,669,362,114,59,1416,172,3100,1351,2033,3,15,105,54,40,3787,1359,24,1
2,2004,5699,644,6,660,327,90,60,1352,180,3166,1401,2111,3,13,104,56,30,3790,1405,19,1
2,2005,5730,641,6,642,299,74,63,1261,185,3108,1412,2139,3,12,95,51,24,3702,1415,15,1
2,2006,5561,618,5,608,274,62,62,1131,184,2973,1374,2091,2,10,90,50,20,3511,1375,13,1
2,2007,5452,611,5,583,248,53,61,1015,185,2899,1350,2069,2,9,90,52,17,3379,1350,10,1
2,2008,5654,637,5,593,231,48,62,961,196,3011,1404,2162,2,8,91,57,15,3447,1409,9,1
2,2009,5701,646,4,590,211,43,62,887,201,3061,1422,2196,2,8,89,53,13,3421,1426,8,1
2,2010,5829,664,4,598,195,41,62,842,210,3147,1465,2268,2,8,94,57,12,3427,1462,7,1
2,2011,6046,684,4,618,186,41,62,826,220,3302,1535,2376,2,8,98,56,12,3498,1515,6,1
2,2012,6208,692,4,634,171,42,63,806,229,3411,1591,2459,2,8,101,59,12,3526,1552,6,0
2,2013,6400,695,4,653,156,42,63,793,240,3544,1656,2553,2,8,104,59,13,3568,1598,6,0
2,2014,6665,709,4,679,141,42,64,788,253,3741,1741,2675,2,8,109,60,13,3648,1663,5,0
2,2015,6936,726,4,706,130,42,65,783,266,3936,1826,2799,2,8,116,62,12,3720,1732,5,0
2,2016,7108,728,4,723,122,40,65,766,277,4058,1885,2885,2,8,119,63,12,3746,1777,4,0
2,2017,7278,729,4,740,115,38,65,751,288,4183,1947,2967,1,8,123,63,11,3774,1820,4,0
2,2018,7444,731,4,757,110,36,66,737,299,4304,2036,3044,1,8,126,64,10,3804,1861,4,0
2,2019,7609,737,4,774,106,33,66,724,310,4425,2158,3120,1,8,130,65,10,3832,1899,4,0
3,1990,32361,496,1851,5060,14803,6791,516,3086,3805,13780,11690,14353,1233,822,296,742,1622,25412,12019,1589,522
3,1991,33434,489,1625,5088,14372,6199,529,2799,3905,14233,12250,14982,1062,742,311,765,1472,26123,12328,1416,474
3,1992,34459,487,1455,5114,13957,5713,539,2522,4055,14541,12848,15434,932,682,330,786,1346,26814,12630,1274,437
3,1993,35497,490,1336,5146,13576,5277,549,2261,4206,14827,13468,15897,831,651,351,803,1232,27572,12929,1147,404
3,1994,36567,500,1240,5187,13126,4849,563,2023,4382,15078,14132,16381,748,624,377,824,1121,28354,13252,1033,371
3,1995,37370,506,1145,5195,12633,4430,574,1796,4523,15270,14707,16735,672,595,401,841,1011,29005,13486,929,342
3,1996,38058,518,1028,5192,12192,4013,575,1584,4652,15364,15250,17036,585,563,427,856,905,29629,13675,828,311
3,1997,38677,543,970,5196,11804,3544,577,1384,4770,15420,15779,17301,535,549,453,870,722,30386,13823,765,259
3,1998,39123,567,904,5171,11451,3217,576,1197,4873,15442,16261,17488,484,530,478,882,623,30994,13901,704,230
3,1999,40120,598,850,5235,11158,2945,587,1048,5025,15611,16998,18066,442,515,506,906,547,32060,14175,652,216
3,2000,40554,625,789,5248,10941,2681,595,912,5114,15654,17566,18498,399,498,529,922,474,32442,14258,598,199
3,2001,40699,656,726,5269,10718,2394,606,796,5208,15699,18244,18986,355,480,554,935,394,32564,14329,542,181
3,2002,40594,682,658,5296,10565,2188,622,691,5302,15762,19051,19540,313,462,578,958,356,32602,14378,490,179
3,2003,40272,727,596,5317,10520,2014,639,597,5348,15844,19822,20182,277,440,592,981,320,32587,14384,452,165
3,2004,40274,743,548,5372,10478,1820,664,517,5464,15980,20774,20869,248,424,614,990,263,32739,14453,419,151
3,2005,40476,777,500,5429,10445,1680,689,448,5583,16144,21664,21533,221,407,634,1004,233,32835,14529,387,146
3,2006,40907,807,466,5507,10425,1562,721,387,5730,16306,22648,22225,201,393,655,1021,210,33009,14676,361,143
3,2007,41434,839,436,5606,10367,1455,750,331,5906,16513,23784,22961,184,378,680,1033,188,33163,14846,333,142
3,2008,41988,872,410,5712,10308,1365,778,281,6081,16733,24937,23732,170,366,703,1052,171,33324,15016,308,140
3,2009,42785,906,386,5840,10200,1309,807,238,6298,17014,26136,24572,157,357,727,1072,166,33713,15248,284,140
3,2010,43639,935,366,5964,10006,1237,823,205,6517,17238,27162,25412,146,348,750,1089,151,34193,15507,265,133
3,2011,44923,971,350,6133,9809,1183,833,180,6802,17595,28294,26382,136,343,781,1110,141,35161,15925,250,128
3,2012,46237,1011,337,6301,9569,1134,846,157,7093,17978,29411,27365,128,339,813,1139,131,36259,16338,238,122
3,2013,47526,1051,329,6472,9469,1109,865,137,7371,18318,30498,28379,122,341,850,1164,126,37566,16744,230,118
3,2014,49286,1094,324,6686,9408,1085,880,121,7739,18740,31878,29564,118,344,886,1205,120,39052,17305,225,112
3,2015,51136,1131,319,6895,9177,1042,891,107,8122,19251,33313,30766,113,344,916,1226,112,40345,17907,217,111
3,2016,52564,1162,310,7032,8749,971,898,95,8411,19759,34482,31789,107,336,935,1261,104,40814,18407,201,108
3,2017,54355,1200,299,7217,8099,896,906,85,8746,20376,35832,33044,100,331,961,1295,95,41541,19032,184,105
3,2018,56569,1248,287,7462,7550,814,924,76,9167,20914,37467,34597,92,328,999,1365,80,42963,19785,168,101
3,2019,58602,1285,277,7670,7092,745,936,66,9580,21555,38978,36087,86,326,1030,1372,68,44391,20469,157,97
4,1990,38,3,2,8,9,5,1,11,4,34,43,44,1,1,1,1,0,19,7,0,0
4,1991,41,3,2,9,9,4,1,10,4,35,45,47,1,1,1,1,0,20,8,0,0
4,1992,43,2,2,9,9,4,1,10,5,36,48,49,1,1,1,1,0,20,8,0,0
4,1993,45,2,2,9,9,4,1,9,5,36,50,51,1,1,1,1,0,20,8,0,0
4,1994,47,2,2,10,9,4,2,9,5,37,52,54,1,1,1,1,0,20,8,0,0
4,1995,49,2,2,10,9,4,2,9,6,38,55,56,1,1,2,1,0,19,9,0,0
4,1996,51,2,2,11,9,4,2,9,6,39,57,58,1,1,2,1,0,20,9,0,0
4,1997,53,2,2,11,9,4,2,9,6,40,60,60,1,1,2,1,0,20,9,0,0
4,1998,55,2,2,11,8,4,2,8,7,41,62,62,1,1,2,1,0,20,10,0,0
4,1999,57,2,2,11,8,4,2,8,7,42,64,64,1,1,2,1,0,20,10,0,0
4,2000,58,2,2,12,8,4,2,8,7,43,67,66,1,0,2,1,0,19,10,0,0
4,2001,60,2,2,12,8,4,2,8,8,43,69,68,1,0,2,1,0,20,11,0,0
4,2002,62,2,2,12,7,4,2,8,8,44,72,71,1,0,2,1,0,20,11,0,0
4,2003,62,2,2,13,7,4,2,7,9,45,74,73,1,0,2,1,0,20,11,0,0
4,2004,64,2,2,13,6,4,2,7,9,45,77,75,1,0,2,1,0,19,11,0,0
4,2005,64,2,2,13,6,4,2,7,9,45,78,76,1,0,2,1,0,19,12,0,0
4,2006,66,2,2,13,6,4,2,7,9,46,79,76,1,0,2,1,0,20,12,0,0
4,2007,67,2,2,13,5,3,2,7,9,46,81,77,1,0,2,1,0,20,12,0,0
4,2008,69,2,2,13,5,3,2,7,9,47,82,77,0,0,2,1,0,20,12,0,0
4,2009,70,2,2,13,5,3,2,8,10,48,84,77,0,0,2,1,0,20,13,0,0
4,2010,71,2,2,13,4,3,2,8,10,48,85,78,1,0,2,1,0,20,13,0,0
4,2011,73,2,2,13,4,3,2,8,10,49,87,80,0,0,2,1,0,20,13,0,0
